AT2G01570	AT2G22300	RGA1	CAMTA3	A	18502975	
AT2G22300	AT3G48090	CAMTA3	EDS1	R	20377697	
AT2G22300	AT4G25470	CAMTA3	CBF2	A	"19270185, 19270186"	
AT2G24570	AT3G56400	WRKY17	WRKY70	R	17114354	
AT3G19290	AT5G52300	ABF4	LTI65	A	"11005831, 12084834"	
AT3G24650	AT3G19290	ABI3	ABF4	R	12857845	
AT3G56400	AT1G19670	WRKY70	ATCLH1	R	16623907	
AT3G56400	AT1G75040	WRKY70	PR5	A	"18307823, 14742872"	
AT3G56400	AT2G14560	WRKY70	LURP1	A	18346188	
AT3G56400	AT2G14610	WRKY70	PR1	A	"18713432, 14742872"	
AT3G56400	AT2G18660	WRKY70	PNP-A	A	18307823	
AT3G56400	AT3G57260	WRKY70	BGL2	A	"18307823, 14742872"	
AT3G56400	AT4G24240	WRKY70	WRKY7	R	16963526	
AT3G56400	AT5G44420	WRKY70	PDF1.2	R	"16813576, 16623907, 16183832, 18316638, 14742872"	
AT4G01250	AT2G19190	WRKY22	FRK1	A	15618416	
AT4G01250	AT4G23550	WRKY22	WRKY29	A	15618416	
AT4G31550	AT3G56400	WRKY11	WRKY70	R	17114354  
