AT1G21890,UMAMIT19
AT1G44800,UMAMIT18/SiAR1
AT2G39510,UMAMIT14
AT4G08290,UMAMIT20
AT5G13670,UMAMIT15
AT4G08300,UMAMIT17
AT4G01450,UMAMIT30
AT3G18200,UMAMIT4
AT1G09380,UMAMIT25
AT4G16620,UMAMIT8
AT4G01430,UMAMIT29
AT1G75500,UMAMI5
AT3G53210,UMAMIT6
AT3G45870,UMAMIT3
AT4G19185,UMAMIT2
AT5G45370,UMAMIT1
AT1G11460,UMAMIT26
AT1G11450,UMAMIT27
AT1G01070,UMAMIT28
AT4G01440,UMAMIT31
AT3G30340,UMAMIT32
AT1G68170,UMAMIT23
AT1G25270,UMAMIT24
AT5G64700,UMAMIT21
AT1G43650,UMAMIT22
AT3G56620,UMAMIT10
AT2G40900,UMAMIT11
AT5G07050,UMAMIT9
AT2G37460,UMAMIT12
AT2G37450,UMAMIT13
AT4G28040,UMAMIT33
AT4G30420,UMAMIT34
AT1G60050,UMAMIT35
AT1G70260,UMAMIT36
AT5G40230,UMAMIT37
AT4G15540,UMAMIT38
AT5G40240,UMAMIT40
AT3G28050,UMAMIT41
AT5G40210,UMAMIT42
AT3G28130,UMAMIT44
AT3G28100,UMAMIT45
AT3G28070,UMAMIT46
AT3G28080,UMAMIT47
AT5G47470,UMAMIT7
