gene	ERR392055	ERR392075	ERR392076	ERR392066	ERR392068	ERR392084	ERR392065	ERR392070	ERR392060	ERR392073	ERR392077	ERR392071	ERR392057	ERR392080	ERR392083	ERR392058	ERR392063	ERR392074	ERR392061	ERR392072	ERR392056	ERR392064	ERR392079	ERR392081	ERR392078	ERR392059	ERR392067	ERR392069	ERR392082	ERR392062
TraesCS1A02G019700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0419533	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0221044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118483	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G164700	0.0678794	0.071581	0.0404595	0.031051	0.604943	3.26893	0.209148	0.0383096	1.03847	0.616922	0.482927	0.25503	0.267164	2.90638	0.684942	0.227486	0.0497181	0.0	0.0770937	0.15	0.0724091	0.485658	0.0668343	2.55329	3.14405	3.17354	0.250553	1.10548	3.29418	0.20057
TraesCS1A02G256700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G310300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G049500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G128000	0.0	0.0	0.0	0.0165101	0.0	0.0	0.0248008	0.0	0.0	0.0	0.0421143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0217932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G181600	0.0345643	0.0726202	0.0681054	0.110125	0.213392	2.92089	0.126692	0.0167497	1.08944	0.383058	0.381722	0.17354	0.0711068	1.99388	0.565113	0.280237	0.0505656	0.0390878	0.0	0.151847	0.177361	0.289903	0.192306	1.33755	3.0716	2.8239	0.105753	0.923386	2.8944	0.0677484
TraesCS1B02G267300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0224773	0.0	0.0	0.226497	0.0	0.0	0.0	0.0	0.413932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G321500	0.0	0.0	0.0	0.0	0.0	0.0	0.0236528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06888
TraesCS1D02G019300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G104500	0.0260847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0205232	0.0	0.0237605	0.026489	0.0	0.0343694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0223042	0.0	0.0	0.0
TraesCS1D02G161800	0.151702	0.0873054	0.0598963	0.0783316	0.431997	3.17577	0.21739	0.0839609	0.944683	0.246397	0.289698	0.291924	0.361297	2.93566	0.437305	0.346156	0.0	0.0265206	0.122751	0.392402	0.158879	0.29339	0.166683	1.98169	3.58344	2.35947	0.211709	1.0402	3.43739	0.0
