gene	ERR687864	ERR687866	ERR687862	ERR687868	ERR687865	ERR687867	ERR687861	ERR687863	ERR687869
TraesCS1A02G019700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	0.0	0.224167	0.496271	0.0	0.798929	0.0	0.0993772	0.0	0.854964
TraesCS1A02G164700	0.0644196	2.52635	2.98011	0.0	1.66872	0.0881578	1.56794	2.1782	4.35719
TraesCS1A02G256700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G310300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G049500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G128000	0.0	0.210245	0.37717	0.0	0.0	0.0	0.249188	0.0	0.334603
TraesCS1B02G181600	0.0652209	3.45166	5.53958	0.352608	5.54405	0.295986	4.11541	4.45434	6.24997
TraesCS1B02G267300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G321500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G019300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G104500	0.0	0.510571	1.624	0.0	0.582075	0.0	0.119826	0.215026	0.965679
TraesCS1D02G161800	0.0915944	0.937124	2.10571	0.223087	1.54779	0.332865	1.10408	1.6009	2.95809
TraesCS1D02G256100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G309800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2A02G219700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.133353	0.150751
TraesCS2A02G231600	0.0	0.568488	0.548884	0.158324	0.636644	0.0673832	0.158182	0.295783	0.537775
TraesCS2A02G505300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2A02G516300	0.791501	8.96314	12.6996	0.760454	10.4178	1.64406	6.91406	6.2963	12.6223
TraesCS2A02G575700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2B02G245300	0.0	0.0	0.154662	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2B02G255800	0.581891	1.01315	1.04163	0.952689	0.832234	1.4876	2.15504	1.72102	1.29725
TraesCS2B02G533700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2B02G545100	0.52602	4.15421	12.6527	0.323258	9.28904	0.500483	2.18569	3.23293	10.7617
TraesCS2B02G611600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G225500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G506100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G518100	0.193316	3.26958	3.27306	0.488382	4.41998	0.241538	2.11518	3.07747	3.97942
TraesCS2D02G586500	0.0	0.0	0.0	0.0	0.161716	0.0	0.0	0.0	0.135272
TraesCS3A02G007100	0.0	0.0921377	0.220388	0.0	0.0	0.0694877	0.0815402	0.0	0.0
TraesCS3A02G019600	0.0	0.0	0.0	0.0	0.0	0.0	0.0915257	0.0	0.0
TraesCS3A02G196000	0.0	0.0	0.0	0.0	0.198759	0.0	0.0	0.0	0.0
TraesCS3A02G331900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3A02G335900	0.171927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3A02G339800	0.0	0.0	3.69831	0.131608	5.05642	0.0	0.130793	0.229241	0.82435
TraesCS3B02G006900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.228541
TraesCS3B02G009500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
