gene	SRR502782	SRR502781	SRR502780	SRR502779	SRR502778	SRR502777
TraesCS1A02G019700	0.0	0.0	0.0974592	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	0.0	0.0	0.0	0.0	0.0	0.0368967
TraesCS1A02G164700	0.0879371	4.82901	0.668628	2.534	0.150386	2.17856
TraesCS1A02G256700	0.0	0.0	0.0	0.0752397	0.0	0.0
TraesCS1A02G310300	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G049500	0.0	0.0	0.152589	0.0	1.21245	0.083522
TraesCS1B02G128000	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G181600	0.289178	9.65439	1.49919	2.5981	0.888005	3.21331
TraesCS1B02G267300	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G321500	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G019300	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G104500	0.0	0.0	0.0	0.0673907	0.0	0.0
TraesCS1D02G161800	0.0612785	5.22289	1.21599	2.45358	0.637624	1.87832
TraesCS1D02G256100	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G309800	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2A02G219700	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2A02G231600	0.128205	1.25416	0.624755	0.910059	1.80369	1.8752
TraesCS2A02G505300	0.0	0.0	0.0	0.0	0.0289544	0.0
TraesCS2A02G516300	1.80334	4.36184	1.2876	13.8232	0.451033	5.53102
TraesCS2A02G575700	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2B02G245300	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2B02G255800	0.524679	1.45456	0.523755	0.0485722	0.619329	0.222444
TraesCS2B02G533700	0.0209566	0.0243232	0.0	0.0	0.0	0.0
TraesCS2B02G545100	2.29843	1.89196	1.21262	16.406	0.391293	9.11398
TraesCS2B02G611600	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G225500	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G506100	0.0209566	0.0243232	0.0	0.0	0.0	0.0
TraesCS2D02G518100	1.07526	0.130022	0.148168	2.25417	0.0316018	1.65718
TraesCS2D02G586500	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3A02G007100	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3A02G019600	0.0	0.0	0.0	0.67874	0.0	0.0410056
TraesCS3A02G196000	0.108867	0.0842767	0.0818245	0.0	0.0	0.0
TraesCS3A02G331900	0.0	0.0	0.0	0.0	0.0	0.0397333
TraesCS3A02G335900	0.317615	0.0335491	0.260367	0.571614	0.157077	0.264576
TraesCS3A02G339800	1.63956	0.0	1.02608	0.0	0.123977	0.0
TraesCS3B02G006900	0.0	0.029824	0.0	0.0	0.0	0.0
TraesCS3B02G009500	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3B02G011600	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3B02G026700	0.0	0.0	0.0	0.0934429	0.0	0.0
TraesCS3B02G227600	2.81785	1.15146	1.04494	6.84876	0.161868	1.73806
TraesCS3B02G362000	0.0	0.0970767	0.0	0.0	0.436022	0.0
TraesCS3B02G366800	0.0	0.0	0.0782695	0.943604	0.150709	0.960958
TraesCS3B02G371400	0.0	0.0	0.072448	0.0	0.0	0.0
TraesCS3D02G003600	0.0	0.0	0.0	0.0	0.0	0.0301828
TraesCS3D02G027300	0.0	0.0	0.0642326	0.528525	0.0	0.169407
TraesCS3D02G199100	1.40585	2.73914	0.781728	0.0	0.0659856	0.0
TraesCS3D02G325400	0.0	0.0	0.121236	0.133153	0.193707	0.0
TraesCS3D02G328900	0.236256	0.0686233	0.266305	0.949886	0.128489	0.85051
TraesCS3D02G333300	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4A02G386700	2.13515	0.0	0.356422	0.0	1.14766	0.0
TraesCS4A02G415600	0.113988	0.159013	0.298275	3.72882	0.0994685	1.41146
TraesCS4A02G464100	0.0350047	0.162606	0.0	0.0	0.0	0.162011
