gene	SRR947794	SRR947769	SRR947789	SRR947765	SRR947785	SRR947761	SRR947781	SRR947756	SRR947777	SRR947752	SRR947773	SRR947748	SRR947828	SRR947829	SRR947044	SRR947824	SRR947040	SRR947822	SRR947816	SRR947036	SRR947810	SRR947811	SRR947804	SRR947024	SRR947803	SRR947800	SRR947023	SRR947020	SRR947016	SRR946457	SRR947005	SRR946453
TraesCS1A02G019700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0414277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0654715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11962	0.0	0.0	0.0	0.0498897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	5.81299	0.74228	4.81045	0.938916	6.20881	1.58188	6.09695	2.71398	6.38471	1.28165	6.30953	2.14443	4.46577	4.93259	1.24461	7.83161	2.34078	9.50192	11.0567	1.69437	9.26738	9.62413	0.0	0.0	0.0	0.0	0.0	0.0	7.36169	2.48348	0.560196	0.996565
TraesCS1A02G164700	0.578638	10.5155	0.637666	6.41647	0.497576	3.70347	0.904356	6.1443	0.760649	3.51636	0.811621	4.46766	0.959059	1.12443	9.1056	1.76206	17.7303	1.293	1.1009	5.18239	1.55108	1.8366	0.0	1.6013	0.259695	0.404216	0.363405	0.37596	1.30837	0.958788	5.61108	13.2514
TraesCS1A02G256700	0.0889108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0406558	0.0	0.0	0.0	0.0	0.0	0.0	0.0470162	0.0	0.137172	0.0694402	0.0	0.0962139	0.195091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G310300	0.0530635	0.0	0.361475	0.0	0.110569	0.0	0.130775	0.0746339	0.304993	0.0	0.694213	0.0	0.0	0.0813779	0.0	0.1843	0.0	0.0	0.249316	0.0	0.342203	0.155651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038608	0.0	0.0	0.0	0.0968058	0.0	0.0	0.0	0.0	0.0	0.0385164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0263334	0.0	0.0	0.0
TraesCS1B02G049500	0.0330127	0.0	0.0621283	0.0	0.0690329	0.0	0.217919	0.0	0.0763645	0.025984	0.0329959	0.0	0.479013	0.402602	0.0	0.128402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.154119	0.198647	0.0	0.0	0.0260362	0.314646	0.0	0.0
TraesCS1B02G128000	3.27724	0.150738	1.99513	0.236075	2.57333	0.499998	1.65521	1.22807	3.39996	0.309985	2.77808	0.582392	3.20167	3.55925	1.05292	1.37667	0.295102	0.0	0.0	0.0	0.0	0.0	3.32803	0.915371	2.12317	3.45124	0.889158	1.03186	3.05741	0.906174	0.0570507	0.444714
