gene	SRR1542417	SRR1542416	SRR1542415	SRR1542414	SRR1542413	SRR1542412	SRR1542411	SRR1542410	SRR1542409	SRR1542408	SRR1542407	SRR1542406	SRR1542405	SRR1542404
TraesCS1A02G019700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	0.0494016	0.0172977	0.0	0.0	0.0603961	0.06588	0.0	0.0	0.275616	0.270873	0.0122419	0.0	0.0	0.0228899
TraesCS1A02G164700	2.65584	3.18312	1.47219	1.3078	3.66994	3.44994	2.27073	1.71402	2.36139	2.28842	3.58011	2.58924	3.47095	4.51677
TraesCS1A02G256700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G310300	0.141992	0.121434	0.235105	0.347798	0.11869	0.125919	0.650122	0.428598	37.5949	35.8015	2.0264	1.84531	0.942994	1.03512
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G049500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G128000	0.50478	0.287912	0.154781	0.0478098	0.0691355	0.0603436	0.133726	0.0456834	2.82354	2.68065	0.339732	0.325206	0.253145	0.373729
TraesCS1B02G181600	3.26501	3.38837	1.72902	1.48059	4.79595	4.75587	2.51482	1.66217	3.00781	3.23302	4.18929	3.80509	3.61491	4.66857
TraesCS1B02G267300	0.0331688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0261978	0.104493	0.0121909	0.0	0.0234985	0.0442317
TraesCS1B02G321500	0.0	0.0	0.0146996	0.0150646	0.0	0.0	0.0	0.0	0.22056	0.145603	0.0106908	0.0124301	0.0236815	0.0120784
TraesCS1D02G019300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G104500	4.31152	3.17256	4.43994	5.54177	2.68854	2.48549	4.25559	2.82545	10.8843	9.90924	1.51923	1.23924	0.717621	1.04914
TraesCS1D02G161800	2.24129	2.2222	0.91468	0.962679	3.87231	4.03016	2.46633	1.62949	2.42771	2.4004	3.63306	2.7531	3.6813	4.61612
TraesCS1D02G256100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1D02G309800	0.0488167	0.0312228	0.0161507	0.0467081	0.0	0.0942066	0.0489588	0.0609017	9.37801	8.40491	0.156087	0.192471	0.0744806	0.138098
TraesCS2A02G219700	0.458487	0.502425	0.628878	0.876718	1.16609	0.916282	2.28184	1.80895	1.32998	1.18232	7.70133	5.97516	4.04231	5.21441
TraesCS2A02G231600	0.0543453	0.16831	0.185265	0.0540633	0.243706	0.180937	0.0433609	0.0774184	0.0937804	0.0595182	0.234101	0.112619	0.200176	0.388276
TraesCS2A02G505300	0.0	0.0	0.0	0.0	0.0	0.011397	0.0	0.0	0.125897	0.104549	0.010683	0.0	0.0	0.00972368
TraesCS2A02G516300	0.789605	0.524016	3.59372	4.21528	1.69081	1.76505	3.92935	3.68387	0.585609	0.641971	1.53098	1.1059	0.825688	1.07072
TraesCS2A02G575700	0.187532	0.183684	0.0411863	0.0421142	0.221086	0.159741	0.0589383	0.0133284	0.106836	0.139796	0.129812	0.0848528	0.0	0.0546204
TraesCS2B02G245300	0.3113891	0.278601	0.595448	0.565588	0.6893556	0.742428	0.825663	0.989034	1.0008651	0.751241	6.123389599999999	5.3000004	3.7093247	3.689469
TraesCS2B02G255800	2.46919	2.66736	0.645331	0.565813	2.88208	2.51194	0.74382	0.528073	1.99177	1.99044	2.24299	1.81908	2.0913	2.77643
TraesCS2B02G533700	0.0	0.0	0.0235631	0.0	0.0209065	0.0	0.0	0.0	0.0	0.0	0.0171247	0.0199115	0.0	0.01536
TraesCS2B02G545100	1.70941	2.15488	2.52491	2.96978	3.91648	4.20269	2.97107	2.46473	1.28306	1.1615	4.47228	3.57699	3.64704	4.9612
TraesCS2B02G611600	0.853081	0.875375	0.121572	0.179469	0.821939	0.795212	0.159426	0.144206	0.868504	0.564593	0.320473	0.419487	0.17182	0.248495
TraesCS2D02G225500	1.26897	1.32241	0.544876	0.467589	2.6246	2.86131	1.44393	1.20812	1.48758	1.33614	7.88198	6.32078	4.03062	4.82425
TraesCS2D02G506100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS2D02G518100	0.108372	0.0934946	0.0607483	0.10892	0.0942202	0.0951378	0.0161952	0.0146882	0.0478537	0.0536097	0.0777364	0.104517	0.0541964	0.0302658
TraesCS2D02G586500	0.0355735	0.0349072	0.0499627	0.0171457	0.118904	0.0918374	0.0	0.0	0.186751	0.171276	0.198398	0.149003	0.0700494	0.090837
TraesCS3A02G007100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00903734
TraesCS3A02G019600	9.56389	9.71709	14.2196	16.2105	14.4224	12.4646	24.9376	16.3483	19.5736	18.5205	41.8053	36.3394	48.5821	55.7321
TraesCS3A02G196000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013289
TraesCS3A02G331900	0.0	0.0	0.0713932	0.0940186	0.0	0.0138596	0.0	0.0174402	0.209481	0.403464	0.0129775	0.0	0.0	0.0120409
TraesCS3A02G335900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3A02G339800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS3B02G006900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0110276	0.0	0.0	0.0	0.0	0.0
TraesCS3B02G009500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
