gene	grain_Z71_rep1	grain_Z71_rep2	grain_Z75_rep1	grain_Z75_rep2	grain_Z85_rep1	grain_Z85_rep2	leaf_Z10_rep1	leaf_Z10_rep2	leaf_Z23_rep1	leaf_Z23_rep2	leaf_Z71_rep1	leaf_Z71_rep2	root_Z10_rep1	root_Z10_rep2	root_Z13_rep1	root_Z13_rep2	root_Z39_rep1	root_Z39_rep2	spike_Z32_rep1	spike_Z32_rep2	spike_Z39_rep1	spike_Z39_rep2	spike_Z65_rep1	spike_Z65_rep2	stem_Z30_rep1	stem_Z30_rep2	stem_Z32_rep1	stem_Z32_rep2	stem_Z65_rep1	stem_Z65_rep2
TraesCS1A02G019700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G019800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0965712	0.0640877	0.0	0.0657487	0.0778252	0.030558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G020200	0.0	0.0	0.0	0.0	0.0	0.0	0.02495	0.0	0.0	0.0	0.0	0.0	0.0213385	0.0	0.181888	0.0	0.0897213	0.0252549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1A02G095600	0.656136	1.34339	0.0	0.0200381	0.0	0.0	0.651627	0.348874	1.57511	2.13397	5.25316	4.66434	6.13792	5.41528	8.08029	10.8962	10.8385	7.30115	3.53335	0.537848	6.71495	6.53898	8.56319	7.88763	1.22605	0.801354	18.1985	18.7886	4.81714	5.86833
TraesCS1A02G164700	5.67661	5.44453	0.451721	0.339607	0.915562	0.564319	6.70744	5.42305	7.22286	8.19533	12.2133	11.1394	0.644058	0.535962	1.12837	0.71869	0.692878	1.11883	5.36722	5.40164	8.39942	8.20262	6.36457	6.95171	3.26203	3.45636	8.17406	8.01268	11.1653	9.48368
TraesCS1A02G256700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0638966	0.0	0.0	0.020798	0.0	0.51839	0.621354	0.798908	0.382426	1.42306	1.31307	0.238567	0.273208	0.0	0.0	0.0196881	0.0	0.83482	0.876356	0.0	0.0
TraesCS1A02G310300	0.0576471	0.10844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0489654	0.0184401	0.63793	0.675359	0.873932	0.620248	0.105613	0.0	0.67398	1.61617	11.1539	15.3257	0.0	0.0	0.0159566	0.0319925	0.0197541	0.0
TraesCS1B02G023900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.413227	0.351242	0.0	0.15801	0.049574	0.0	0.0223261	0.0245589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G049500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.224769	0.463082	0.336542	0.416633	0.257275	0.193259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS1B02G128000	0.8038	0.739368	0.0105108	0.0	0.0	0.0	0.0199619	0.0548895	0.788508	0.455785	1.5807	1.42798	3.75567	4.17192	2.47771	6.28975	6.90201	2.49787	17.1355	5.8019	19.0918	13.2566	6.12082	6.56961	0.836557	0.477655	6.04828	6.49127	5.35381	6.10904
