Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1A02G164700,0,1,5,3,61,10,0,5,2,14,4,0,6,10,21,0,4,5,12,0,1,1,10,73,1,51,38,79,15,62
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G219600,1,47,9,59,0,0,0,3,1,2,2,2,10,6,0,45,1,11,3,8,2,1,125,0,1,0,3,1,0,1
TraesCS2A02G219700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G231600,1,4,2,6,6,2,2,3,1,1,0,1,3,5,8,1,4,0,7,0,1,0,3,2,2,4,9,6,4,6
TraesCS2A02G300300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TraesCS2A02G505300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G516300,6,28,17,20,73,44,11,22,9,23,25,24,22,21,53,17,27,16,27,6,11,11,41,91,30,47,53,81,45,76
TraesCS2A02G575700,0,0,0,5,0,8,0,1,0,0,7,2,1,0,2,0,1,0,0,1,0,0,11,0,7,0,2,0,0,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS3A02G019600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TraesCS3A02G196000,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS3A02G298500,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,2,0,8,5,4,0,1
TraesCS3A02G331900,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TraesCS3A02G335900,0,1,3,2,1,0,3,0,0,1,0,0,1,0,0,1,1,3,1,0,0,0,2,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,1,0,1,2,0,0,1,0,0,2,1,0,1,1,0,0,2,4,0,1,0,0,2,0,0,0,1
TraesCS4A02G041500,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0
TraesCS4A02G271100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1
TraesCS4A02G284700,28,105,69,60,0,0,26,10,5,14,2,14,19,11,0,95,27,71,0,2,9,20,103,1,3,0,0,0,1,0
TraesCS4A02G415600,2,43,16,47,1,0,2,7,4,2,0,2,6,1,0,30,0,11,0,0,0,0,65,0,0,0,0,0,1,0
TraesCS5A02G015800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G060000,0,3,4,4,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,0,0,0,5,0,0,0,0,0,0,0
TraesCS5A02G220400,2,8,10,6,75,9,1,4,11,14,6,9,17,15,25,16,19,3,9,16,16,22,9,68,3,37,38,55,22,81
