grain_Z71_rep1,grain_Z71_rep2,grain_Z75_rep1,grain_Z75_rep2,grain_Z85_rep1,grain_Z85_rep2,leaf_Z10_rep1,leaf_Z10_rep2,leaf_Z23_rep1,leaf_Z23_rep2,leaf_Z71_rep1,leaf_Z71_rep2,root_Z10_rep1,root_Z10_rep2,root_Z13_rep1,root_Z13_rep2,root_Z39_rep1,root_Z39_rep2,spike_Z32_rep1,spike_Z32_rep2,spike_Z39_rep1,spike_Z39_rep2,spike_Z65_rep1,spike_Z65_rep2,stem_Z30_rep1,stem_Z30_rep2,stem_Z32_rep1,stem_Z32_rep2,stem_Z65_rep1,stem_Z65_rep2
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,6,20,0,2,0,0,13,7,27,34,67,49,81,63,301,118,321,87,56,8,86,118,109,105,18,11,333,243,71,70
TraesCS1A02G164700,76,64,17,13,22,7,92,58,128,145,219,156,13,4,30,7,16,19,90,84,111,137,109,129,66,49,169,112,198,135
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,9,24,8,20,25,3,6,0,0,0,0,15,8,0,0
TraesCS1A02G310300,2,2,0,0,0,0,0,0,0,0,0,0,1,1,38,12,39,10,0,0,9,30,206,279,0,0,0,0,0,0
TraesCS2A02G219600,9,5,35,43,0,0,2,0,9,13,11,4,163,177,1006,391,760,416,16,5,156,247,37,72,17,19,47,16,34,36
TraesCS2A02G219700,3,1,0,0,0,0,4,3,18,14,1,3,113,83,46,86,193,15,23,20,21,31,5,0,8,8,4,13,0,0
TraesCS2A02G231600,30,25,0,3,14,11,145,99,93,96,53,30,16,9,19,9,15,5,27,18,22,38,78,49,28,46,59,19,75,44
TraesCS2A02G300300,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,1,3,1,5,0,1,0,0,7,1
TraesCS2A02G505300,0,2,0,0,0,0,1,0,2,2,4,1,3,2,15,1,3,6,0,0,1,1,11,22,0,0,0,5,0,0
TraesCS2A02G516300,428,347,93,78,111,88,58,55,84,87,27,28,189,156,380,132,277,168,184,125,1109,1901,326,359,98,114,376,357,52,57
TraesCS2A02G575700,14,15,15,17,98,116,0,2,4,2,0,1,12,3,45,11,24,15,1,0,1,2,118,78,3,0,11,6,0,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,31,20,231,67,111,153,0,1,0,0,0,0,0,0,17,12,3,3
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,20,25,28,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,46,46,2,5,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
TraesCS3A02G007100,3,8,2,5,0,0,10,5,39,20,7,5,367,271,2571,371,1477,555,562,458,372,746,87,87,1449,969,995,696,2016,1449
TraesCS3A02G019600,0,0,0,1,0,0,247,157,272,254,30,22,79,49,140,94,230,37,16,12,34,18,3,2,65,36,86,64,71,50
TraesCS3A02G196000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
TraesCS3A02G298500,3,1,3,0,2,1,6,10,30,26,12,12,12,19,14,5,20,5,3,3,1,4,6,3,4,2,0,1,4,5
TraesCS3A02G331900,17,14,0,0,0,0,0,0,1,1,0,1,5,5,358,69,151,124,0,0,21,48,421,482,0,0,33,32,114,73
TraesCS3A02G335900,17,17,1,1,0,0,3,6,0,1,0,0,11,18,14,21,54,9,1,2,0,0,0,0,3,4,3,3,0,0
TraesCS3A02G339800,14,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,600,487,0,0,2,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,113,83,5,5,12,5,37,37,180,150,473,332,25,20,18,12,26,9,77,89,71,80,107,134,72,50,241,139,114,109
TraesCS4A02G284700,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,42,43,68,74,0,0,1,0,7,8,29,20,11,9,463,126,335,163,7,3,18,13,24,54,17,14,28,31,18,15
TraesCS5A02G015800,0,0,0,0,0,0,0,0,2,1,52,38,11,14,69,10,13,13,1,1,16,42,37,21,7,3,1,0,21,17
TraesCS5A02G060000,4,5,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
TraesCS5A02G220400,45,42,40,47,1,2,22,15,59,36,15,10,72,66,25,24,92,10,35,23,63,96,13,13,55,40,22,17,0,0
TraesCS5A02G220500,67,36,8,12,106,119,13,29,21,22,34,33,123,131,379,118,268,217,16,14,15,13,120,88,21,11,51,30,11,11
TraesCS5A02G483100,0,0,0,0,0,0,0,0,0,0,0,0,27,31,52,20,63,50,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G008800,14,18,40,48,4,2,13,10,11,10,13,9,8,7,240,32,73,74,13,7,4,6,5,5,16,10,47,35,9,6
TraesCS6A02G009400,0,0,0,0,0,0,0,0,9,3,0,0,14,13,36,26,100,6,2,4,11,21,0,0,2,6,5,4,0,0
TraesCS6A02G039800,8,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,7,3,0,0,0,0,0,0
TraesCS6A02G271500,32,23,0,1,3,0,7,2,1,5,1,0,18,7,14,18,17,16,29,23,25,27,8,15,19,14,16,12,5,4
TraesCS6A02G329600,0,0,0,0,0,0,0,0,0,0,0,0,5,2,247,20,62,40,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,11,0,0,0,0,1,3,0,0,20,9,26,19
TraesCS6A02G329800,0,0,0,0,0,0,0,0,0,0,0,0,112,103,749,141,419,162,2,1,1,3,1,4,1,1,9,0,7,6
TraesCS6A02G329900,1,4,4,2,0,0,0,0,0,0,0,0,8,2,708,8,13,167,2,0,1,6,54,33,0,0,0,0,1,0
TraesCS6A02G330000,1,0,0,1,0,0,0,0,0,0,0,0,81,45,81,57,81,19,0,0,12,15,36,56,17,14,28,22,10,6
TraesCS6A02G330100,77,83,20,15,0,0,0,2,0,0,1,0,328,307,1637,402,1273,298,7,1,91,257,326,396,1,2,7,12,5,5
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G169100,758,597,128,149,0,0,14,5,32,21,15,11,1128,708,1323,714,2499,261,47,19,47,100,182,133,286,165,160,114,86,63
TraesCS7A02G209000,15,16,2,10,26,25,43,32,25,19,35,38,14,18,41,14,45,26,47,30,38,52,21,38,32,32,34,24,38,28
TraesCS7A02G300400,0,0,6,6,594,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G409900,96,66,30,32,84,79,114,143,90,82,57,45,295,189,397,263,504,159,119,100,166,232,195,201,183,160,539,366,290,248
TraesCS7A02G477400,24,18,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G477500,0,0,25,22,0,0,0,0,0,0,0,0,0,0,435,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,20,0,0,0,0,0,0
TraesCS7A02G526900,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,10,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B02G128000,10,10,1,1,0,0,0,0,13,9,27,19,63,47,101,67,219,35,246,90,237,257,87,101,10,9,118,70,64,64
TraesCS1B02G181600,82,59,6,4,32,28,74,44,96,89,196,142,1,1,12,2,9,2,56,55,86,109,81,83,14,31,123,76,147,115
TraesCS1B02G267300,0,0,0,0,0,0,0,0,0,0,0,0,2,2,62,72,173,21,44,42,14,12,0,1,1,1,45,33,6,7
TraesCS1B02G321500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,9,24,11,0,0,5,16,204,221,0,0,0,0,0,0
