SRR1542404,SRR1542405,SRR1542406,SRR1542407,SRR1542408,SRR1542409,SRR1542410,SRR1542411,SRR1542412,SRR1542413,SRR1542414,SRR1542415,SRR1542416,SRR1542417
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,2,0,0,2,8,7,0,1,3,4,3,0,1,0
TraesCS1A02G164700,198,119,77,96,73,84,51,56,105,93,28,27,85,71
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TraesCS1A02G310300,50,46,74,75,1335,1623,13,15,7,4,7,9,3,3
TraesCS2A02G219600,61,58,41,48,101,100,27,25,1,3,53,55,3,1
TraesCS2A02G219700,150,125,151,186,36,37,41,39,19,18,14,18,8,7
TraesCS2A02G231600,26,12,18,34,11,10,11,13,22,26,6,12,11,5
TraesCS2A02G300300,0,3,0,0,0,0,2,1,0,0,0,0,1,0
TraesCS2A02G505300,0,0,0,0,6,6,0,0,1,0,0,0,0,0
TraesCS2A02G516300,82,64,58,95,42,50,207,216,128,95,225,197,44,47
TraesCS2A02G575700,4,0,2,7,9,4,0,2,8,10,3,3,12,14
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,15,8,5,5,5,0,2,0,2,2,0,1,0,0
TraesCS3A02G007100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G019600,2649,2289,1402,1678,679,819,588,765,520,492,518,464,337,336
TraesCS3A02G196000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,25,20,19,11,6,7,3,3,2,6,3,5,2,3
TraesCS3A02G331900,1,0,0,0,11,5,1,0,1,0,2,1,0,0
TraesCS3A02G335900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,285,202,379,522,347,419,89,106,238,220,167,163,241,229
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,13,8,6,8,2,4,6,2,4,2,1,2,3,2
TraesCS5A02G015800,0,0,0,1,0,0,1,0,0,0,0,0,0,0
TraesCS5A02G060000,2,0,0,2,0,0,0,2,0,0,0,0,0,0
