Geneid,WT_FLB_3DAA_rep1,WT_FLB_3DAA_rep2,WT_FLB_3DAA_rep3,WT_FLB_7DAA_rep1,WT_FLB_7DAA_rep2,WT_FLB_7DAA_rep3,WT_FLB_10DAA_rep1,WT_FLB_10DAA_rep2,WT_FLB_10DAA_rep3,WT_FLB_13DAA_rep1,WT_FLB_13DAA_rep2,WT_FLB_13DAA_rep3,WT_FLB_15DAA_rep1,WT_FLB_15DAA_rep2,WT_FLB_15DAA_rep3,WT_FLB_17DAA_rep1,WT_FLB_17DAA_rep2,WT_FLB_17DAA_rep3,WT_FLB_19DAA_rep1,WT_FLB_19DAA_rep2,WT_FLB_19DAA_rep3,WT_FLB_21DAA_rep1,WT_FLB_21DAA_rep2,WT_FLB_21DAA_rep3,WT_FLB_23DAA_rep1,WT_FLB_23DAA_rep2,WT_FLB_23DAA_rep3,WT_FLB_26DAA_rep1,WT_FLB_26DAA_rep2,WT_FLB_26DAA_rep3
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,161,172,251,265,367,109,62,50,77,108,127,114,83,33,78,42,254,128,92,105,71,71,61,45,77,91,66,49,62,82
TraesCS1A02G164700,271,356,284,270,447,242,156,58,82,227,174,207,105,66,91,78,459,249,169,153,133,186,141,120,134,162,128,47,45,156
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2
TraesCS1A02G310300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G219600,1,20,6,15,8,24,10,10,4,4,16,62,34,15,48,22,96,84,116,36,33,150,95,33,267,139,333,209,163,246
TraesCS2A02G219700,8,1,11,1,3,1,0,0,2,2,2,2,3,0,0,0,2,3,2,1,1,2,5,0,3,0,2,2,4,1
TraesCS2A02G231600,47,91,60,59,89,29,26,11,25,60,32,32,21,9,17,11,73,43,41,31,25,29,21,30,17,15,17,12,7,17
TraesCS2A02G300300,1,0,0,3,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TraesCS2A02G505300,9,19,24,21,39,14,16,4,14,23,21,22,8,10,9,10,60,33,15,17,13,19,12,8,39,12,16,19,22,41
TraesCS2A02G516300,46,55,82,86,152,63,44,11,23,61,47,61,24,17,15,23,122,66,44,72,37,34,34,29,60,40,37,43,32,48
TraesCS2A02G575700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS3A02G019600,1,2,2,2,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G196000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
