Geneid,Control_rep1,Control_rep2,Control_rep3,100mM_NaCl_rep1,100mM_NaCl_rep2,100mM_NaCl_rep3,200mM_NaCl_rep1,200mM_NaCl_rep2,200mM_NaCl_rep3,300mM_NaCl_rep1,300mM_NaCl_rep2,300mM_NaCl_rep3
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,36,32,35,62,60,48,159,156,169,21,25,23
TraesCS1A02G164700,27,24,17,31,37,31,52,51,47,38,28,30
TraesCS1A02G256700,0,3,2,0,0,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,12,10,7,70,59,63
TraesCS2A02G219600,92,81,96,40,57,51,105,100,69,248,213,237
TraesCS2A02G219700,21,10,11,19,28,28,62,72,39,27,29,18
TraesCS2A02G231600,1,4,3,1,3,2,16,22,11,1,9,2
TraesCS2A02G300300,0,0,0,0,0,0,0,3,0,0,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0,0,0,0,0,1
TraesCS2A02G516300,95,100,86,103,94,85,93,104,149,114,136,126
TraesCS2A02G575700,2,1,0,4,4,3,3,9,4,13,9,7
TraesCS2A02G584400,34,29,29,18,24,16,87,76,91,12,9,16
TraesCS2A02G584600,0,2,3,6,14,4,11,13,11,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,89,81,82,401,487,471,737,664,678,295,245,202
TraesCS3A02G019600,24,10,17,83,78,92,80,118,106,10,11,9
TraesCS3A02G196000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,9,6,3,11,14,14,20,8,10,9,5,5
TraesCS3A02G331900,3,1,0,52,55,64,186,194,186,595,552,510
TraesCS3A02G335900,0,0,0,6,4,3,2,5,4,1,5,1
TraesCS3A02G339800,0,0,1,0,0,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,2,4,3,5,6,11,16,3,15,16,13,15
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,4,4,5,14,7,15,18,4,10,2,3,4
TraesCS5A02G015800,4,16,6,9,16,13,38,47,60,7,1,4
TraesCS5A02G060000,1,1,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G220400,5,9,17,39,52,56,71,64,56,0,6,1
TraesCS5A02G220500,6553,5194,5977,2257,2415,2397,1349,1529,1340,4007,3917,3500
TraesCS5A02G483100,4,10,5,16,21,21,40,46,37,17,22,16
