Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16280474799086,0,0,0,0,0
TraesCS1A02G164700,0,0.085957585274598,0.251908382258698,0.255986685238259,2.03708510151617,0.764658758858077,0,0.749327441456266,0.247773931972006,0.965626937784185,0.462099041660066,0,0.604172226581734,0.778165146868467,1.09697095707745,0,0.400798543144163,0.282303735834131,0.920323703761892,0,0.154553925198053,0.122722499367939,0.516543357965119,2.38541425273104,0.125879959786748,2.14094092751401,1.59473201806073,2.55328768135227,0.971206828173274,1.9919194834489
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G219600,0.138985540996987,5.66301490270075,0.635595426912841,7.05689691531096,0,0,0,0.630214697872177,0.173656585269397,0.193364601496833,0.323869993071,0.289776493067627,1.41148135786195,0.65446837496741,0,6.29519320430141,0.140453246694306,0.870572503280398,0.322512280581299,1.73745040810721,0.433287015728647,0.172024312697834,9.05070551347842,0,0.176450232649054,0,0.176478178147122,0.0453041825366156,0,0.0450345398784598
TraesCS2A02G219700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803623253878524,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G231600,0.107162110718568,0.371604936897426,0.108903010937465,0.553330550821417,0.216554825166887,0.165285570159852,0.26115653564936,0.485914842259105,0.133894548196572,0.0745450162873585,0,0.111713277550305,0.326488612693193,0.420512642040341,0.451651127572412,0.107861929987659,0.433175027130738,0,0.58022265074682,0,0.167038782665306,0,0.167480910493426,0.0706330926897122,0.27209707185102,0.181481256185577,0.408210248282368,0.209585477317023,0.279909563105835,0.208338060808206
TraesCS2A02G300300,0,0,0,0,0,0,0,0,0,0.104050003293786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487566008014588,0,0.0484664099469583
TraesCS2A02G505300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G516300,0.729081448161072,2.94959951491861,1.04964478166669,2.09144733359537,2.98760386562887,4.12326416021008,1.62872261414928,4.04059320295053,1.3664348869966,1.94415097752596,3.53945096660032,3.04018193105948,2.71489478106005,2.00268149611,3.39291140410624,2.07922096877664,3.3155129011199,1.10710144792058,2.53772139413813,1.13927575717958,2.08350016659915,1.65438922079079,2.59544274747603,3.6442079991791,4.62805663903267,2.41798265604805,2.72584277183569,3.20832601331949,3.57070356283541,2.99236452468472
TraesCS2A02G575700,0,0,0,0.474593051760533,0,0.680476143203977,0,0.166708169314811,0,0,0.899556333965553,0.229960244498622,0.112012052711063,0,0.116214703840665,0,0.11146060402805,0,0,0.172350298510635,0,0,0.632054774023832,0,0.980189136412864,0,0.0933661309463368,0,0,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570668630098138,0,0,0,0,0,0,0
TraesCS3A02G019600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125261764306541,0,0,0,0,0,0,0
TraesCS3A02G196000,0,0.131720154370237,0,0,0,0,0,0,0.189842586108093,0.105693763219438,0,0,0,0,0,0,0.307088931161009,0,0,0,0,0,0.0791543534322536,0,0,0,0,0,0,0
TraesCS3A02G298500,0,0,0,0,0.148025861071806,0,0,0,0,0,0,0,0.148780670166103,0.114976419263125,0.154362866335202,0,0,0,0.11331733849315,0,0.228358427177626,0,0,0.0965623772871541,0,0.496205414856225,0.31003528631076,0.19101595927091,0,0.0474697663303795
TraesCS3A02G331900,0,0,0,0,0,0,0,0,0.342609713489446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580294128191059,0,0,0
TraesCS3A02G335900,0,0.10884968370282,0.191397752577757,0.21610712330819,0.0422885020860054,0,0.458984316080875,0,0,0.0873422351408672,0,0,0.127512415096667,0,0,0.126378697341937,0.126884656282584,0.214491872396167,0.0971185805753955,0,0,0,0.130821685959834,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,0.13624531395397,0,0.122093661908203,0.385823853078684,0,0,0.110130291552106,0,0,0.321562172721142,0.124250237442372,0,0.159351575578476,0.159989541913513,0,0,0.494780116218184,0.987109843240242,0,0.0824768818479284,0,0,0.134057141914861,0,0,0,0.0512986034500315
TraesCS4A02G041500,0,0.35759338548832,0,0,0,0,0,0,0,0.0956456785102277,0,0.143334762832593,0,0,0,0.276786510833235,0,0,0,0,0,0.170179877608151,0.429775888971693,0,0,0,0,0,0,0
TraesCS4A02G271100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721625423004219,0,0,0,0,0,0,0,0,0.191604993203122,0,0,0,0,0.0299717918884685,0,0.029793404967394
TraesCS4A02G284700,3.76115061781789,12.2273464528182,4.70956090071917,6.93595208606455,0,0,4.25564787666048,2.03030060953234,0.839178470715245,1.30818174532215,0.313014015649626,1.96044320170333,2.59192135379454,1.15963996048695,0,12.8443824100178,3.66512354921286,5.43079840416106,0,0.419802961735401,1.88443542874163,3.32516269237154,7.20779984557193,0.0442689948945647,0.51160709913329,0,0,0,0.087716072935575,0
TraesCS4A02G415600,0.204525240552716,3.81211151706909,0.831391407263155,4.1362512776935,0.0344423100455929,0,0.249216364428815,1.08196349335206,0.511091364195313,0.142273582387888,0,0.213211412230514,0.623122870584032,0.0802573304053602,0,3.08791330666424,0,0.640548827506683,0,0,0,0,3.46284515892618,0,0,0,0,0,0.066777999172644,0
TraesCS5A02G015800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G060000,0,0.359133629790495,0.280661743909188,0.475342588525697,0,0,0.168261299888945,0,0,0,0,0.287904283133953,0,0,0,0.277978699681045,0,0.235894866124141,0.106809522930011,0,0,0,0.359689201167383,0,0,0,0,0,0,0
TraesCS5A02G220400,0.0819058925866849,0.284024211935653,0.208091233375292,0.211460153017765,1.0344792185825,0.284244026605536,0.0499016373739196,0.247595526749015,0.562858815018375,0.398832501448013,0.286290868901595,0.384229933750305,0.707032859011624,0.482107851264049,0.539382700388864,0.659526214444447,0.786322881642209,0.0699598783289181,0.285090693841506,1.02390094307872,1.02136551802163,1.11513652821453,0.192012923782648,0.917764029562089,0.155976445807722,0.641530638150156,0.658671516933748,0.734203613942343,0.588334503249384,1.074846084423
TraesCS5A02G220500,0,0,0.220136153865709,0.124277820160716,0.024319063511922,1.05800757700859,0,0.109136279010898,0,0.050228342430859,0.673027132748145,0.225816816669818,0,0,0.912965961703242,0,0,0.0411163098737398,0.781906650218124,0.338489775453319,0,0.268109964835363,0.112848436312199,0.0475924930097723,0.183338680169888,0,0,0.0235364071436472,0.377205454786016,0.0233963225194401
