WE 10DPA,WE 20DPA,SE 20DPA,SE 30DPA,AL 20DPA,AL 30DPA,TC 20DPA
TraesCS1A02G019700,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0.0407011869977151,0,0,0
TraesCS1A02G164700,0.133553029523207,0.908830654146955,0.1312625891345,0.33432661072577,2.11722991077052,0.716650121415356,0.214621907119494
TraesCS1A02G256700,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0
TraesCS2A02G219600,0.411288367797557,0.292586314261385,0.629104580450772,0.355077854164965,0.0444694834270329,0.387983651139064,7.01645263394789
TraesCS2A02G219700,0.0200905813469631,0,0,0,0,0,0
TraesCS2A02G231600,0.119305414326348,0.338797468045089,0.0752333327154693,0.217431297915108,0.215800493408296,0.344150084389049,0.300069582049982
TraesCS2A02G300300,0,0.0260125008234464,0,0,0.0162038351247362,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0
TraesCS2A02G516300,1.12863757297441,2.51381435765238,1.56090000789153,3.81207068491075,2.99605463844932,3.38664581162407,2.42892764119166
TraesCS2A02G575700,0,0,0.0430875746276587,0.569103471047963,0.0155610218243895,0.255040875945939,0.276661956446091
TraesCS2A02G584400,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0.0142667157524534
TraesCS3A02G019600,0,0,0,0,0,0,0.0313154410766353
TraesCS3A02G196000,0,0.0264234408048595,0.0474606465270233,0,0,0.0767722327902523,0.0527186269506226
TraesCS3A02G298500,0,0.0570734394390686,0.0570896067944066,0,0.214885777521206,0.0757858841253263,0
TraesCS3A02G331900,0,0,0.0856524283723614,0,0.00967156880318432,0,0
TraesCS3A02G335900,0.2162184852637,0.0461152039290657,0,0,0.0070480836810009,0.0635992678448128,0.145539297578195
TraesCS3A02G339800,0.0964559632696709,0.0585951322486195,0.370472489864607,0,0.030892624227482,0.150911344135715,0.0945184428450936
TraesCS4A02G041500,0,0.0239114196275569,0.0425449694020376,0.0358336907081484,0,0,0.266038946323312
TraesCS4A02G271100,0,0.0180406355751055,0,0,0.00996086614264375,0,0.0479012483007806
TraesCS4A02G284700,4.53928944983965,0.638884444686168,1.61714488839095,1.20384123150465,0.00737816581576079,1.56426122575185,9.80387019861812
TraesCS4A02G415600,0.481420459937842,0.072327227991473,0.127772841048828,0.323793726395643,0.00574038500759882,0.155780717646008,3.62478031508825
TraesCS5A02G015800,0,0,0,0,0,0,0
TraesCS5A02G060000,0.171204477480568,0.0267023807325029,0,0.0719760707834882,0,0,0.368036029791155
TraesCS5A02G220400,0.102464660416204,0.438591387450738,0.930815451083313,0.26852319380216,0.843582516932307,0.579245616912058,0.336755875795128
TraesCS5A02G220500,0.0653131159348621,0.30233511185875,0.151649935072171,0.297829727149687,0.0198073810307969,0.492743384677957,0.0592815641182289
TraesCS5A02G483100,0,0,0,0,0,0,0
TraesCS6A02G008800,0.0609867923757631,0.0683505697403854,0.0713891940200532,0.20179403076316,0.152125025620615,0.0353199521948731,2.69833180226015
TraesCS6A02G009400,0,0,0,0,0,0,0.0357218015365033
TraesCS6A02G039800,0.0707021209503371,0,0,0.0659622806588152,0.0644501560493767,0.031971594313309,0
TraesCS6A02G271500,0.264132667550395,0,0,0.124481074398199,0.051683392857552,0.0770446896580011,0.180100471778883
TraesCS6A02G329600,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0
TraesCS6A02G329900,0,0.0261946594087158,0,0.181095113592298,0,0.0219791391696767,0.0264637530225087
TraesCS6A02G330000,0,0,0,0,0,0,0
TraesCS6A02G330100,0,0,0,0,0,0,0
TraesCS7A02G109400,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0
TraesCS7A02G169100,1.94161169956028,0.213567852480253,0.410878110501214,0.882497731777672,0.0829198841172686,0.472540787795305,6.49719958789209
TraesCS7A02G209000,0.45198336192343,0.148069550466238,0.469746632573357,0.164935497534334,0.280144145012314,0.374187701487074,0.297601638465301
TraesCS7A02G300400,0.0185524812844924,3.50115084761989,0,6.08938531708129,0.00919323240573686,12.7773437906872,0.129877121464341
TraesCS7A02G409900,0.20892620797236,1.72238718086741,1.07896297031138,2.28195695362645,0.899713832448941,2.09302823606692,0.719517197060381
TraesCS7A02G477400,0.0423083015785741,0.0241531235082687,0,0,0,0.105437474147641,0.0530363855186067
TraesCS7A02G477500,0.0705117260776501,0.772869477878192,1.78873099630899,0.617914213881496,0.128470863043018,0.521641325536351,1.84112890107852
TraesCS7A02G490000,0,0,0,0,0,0,0
TraesCS7A02G526900,0.0196423738577923,0,0,0,0,0,0.0335124026191158
TraesCS1B02G023900,0,0,0,0,0,0,0
TraesCS1B02G128000,0,0,0,0,0,0,0.0158760157549482
TraesCS1B02G181600,0.028524439974907,0.308187397820386,0.13233575865165,0.177622893138805,1.20810578267206,0.556394973563244,0.241908659452666
