grain_Z71_rep1,grain_Z71_rep2,grain_Z75_rep1,grain_Z75_rep2,grain_Z85_rep1,grain_Z85_rep2,leaf_Z10_rep1,leaf_Z10_rep2,leaf_Z23_rep1,leaf_Z23_rep2,leaf_Z71_rep1,leaf_Z71_rep2,root_Z10_rep1,root_Z10_rep2,root_Z13_rep1,root_Z13_rep2,root_Z39_rep1,root_Z39_rep2,spike_Z32_rep1,spike_Z32_rep2,spike_Z39_rep1,spike_Z39_rep2,spike_Z65_rep1,spike_Z65_rep2,stem_Z30_rep1,stem_Z30_rep2,stem_Z32_rep1,stem_Z32_rep2,stem_Z65_rep1,stem_Z65_rep2
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,0.439346145898362,1.83539458847642,0,0.403424633085831,0,0,1.63078130678314,0.843622431545252,2.59673116227286,3.62672453768434,7.51219395309046,7.45236695976562,5.6684621320239,5.10793771222792,10.4769716002764,10.0768875237192,13.1727532120427,6.66599424122874,3.49827607829737,0.514342913461619,6.48160284373835,6.79559194699978,7.50181240838911,6.76615603109087,1.17749815698746,0.812694499740587,20.8709521024025,20.7997208482692,7.93009819111046,8.27828503736515
TraesCS1A02G164700,4.30287462477777,4.54118248695197,2.74922717718098,2.027520707519,1.71710090343753,0.662682408284842,8.92338700777449,5.4046503346419,9.51837310340567,11.9589537135589,18.9856571287138,18.3447703406812,0.703417408517667,0.250757865106918,0.807383844251871,0.462202162323306,0.507669456095684,1.12561225189607,4.34708459655878,4.17572210671159,6.46839411101916,6.10035883762211,5.80037041885756,6.42734998535142,3.33826797084074,2.79911179620118,8.18981820680324,7.41239892772735,17.0991662752999,12.3442762891491
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0.108919369049103,0,0,0,0,0.817460111879249,0.784795269295432,1.0056624351521,0.625900259733691,1.27574980974571,1.64124057648151,0.230873816999561,0.352830401881817,0,0,0,0,0.959972407337336,0.699214913925463,0,0
TraesCS1A02G310300,0.13394699570072,0.167871456263087,0,0,0,0,0,0,0,0,0,0,0.0640070249776864,0.0741570515712532,1.20976294711886,0.937288008613813,1.46380606128809,0.700798385326823,0,0,0.62040299482748,1.58020689135485,12.9674425721204,16.4438809466407,0,0,0,0,0,0
TraesCS2A02G219600,0.714254933722047,0.497307059738915,7.93405837005221,9.40061012790321,0,0,0.271917736791319,0,0.938125419896265,1.50291415515226,1.33671814582427,0.659345903010996,12.3629753735803,15.5536914234851,37.9509298120357,36.1889789645666,33.8018355341165,34.5457146246656,1.08328119683032,0.348407862261754,12.7427667145683,15.4169125132471,2.75992064396242,5.02852223615342,1.20529074354449,1.52139997652435,3.19264811752368,1.48431605282732,4.11580037192291,4.61423815047191
TraesCS2A02G219700,0.241753198403354,0.10099383282152,0,0,0,0,0.552214450064835,0.397893401315757,1.90515859301017,1.64345982675265,0.123392110572986,0.502128427971691,8.70270129777317,7.40591185611078,1.76206735781455,8.08236125794156,8.71614076262591,1.26483054138223,1.58120905436091,1.41510339360313,1.74180151152347,1.96472776611593,0.378708549428327,0,0.575934535088022,0.650459147394587,0.275901093935641,1.22458796874858,0,0
TraesCS2A02G231600,1.83570813049455,1.91719490439738,0,0.505685473227365,1.18096886648172,1.12547891705519,15.2001257435326,9.9703884667306,7.47434224981046,8.55723961046281,4.9658622148646,3.81281920515551,0.935679295495538,0.609781660831029,0.55264936860026,0.642264206459604,0.51438653107188,0.320141880762114,1.40947255442741,0.967079294113071,1.38558589002634,1.82875568187993,4.48601902216414,2.6386123798126,1.5306382727785,2.8400061019043,3.09013067841538,1.35903812413465,7.00016514182531,4.34832321899005
TraesCS2A02G300300,0,0,0,0.235278751799668,0,0,0,0,0.112179504159014,0.248837563193053,0,0.177397886813223,0,0,0,0,0,0,0.0728645595068604,0,0.087909185373861,0.201519385833744,0.0802767889379176,0.375814043051037,0,0.08617572102438,0,0,0.911944790119595,0.137940763786356
TraesCS2A02G505300,0,0.167564935040452,0,0,0,0,0.114526520912716,0,0.175609059462559,0.194768780442036,0.409454526380963,0.138851906537921,0.191670458241155,0.148043292242064,0.476666055340423,0.0779647156688301,0.1123948658885,0.419711266683867,0,0,0.0688077981684633,0.0525773849020481,0.691171914982217,1.29428252051125,0,0,0,0.39072835839794,0,0
