grain_Z71,grain_Z75,grain_Z85,leaf_Z10,leaf_Z23,leaf_Z71,root_Z10,root_Z13,root_Z39,spike_Z32,spike_Z39,spike_Z65,stem_Z30,stem_Z32,stem_Z65
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,1.13737036718739,0.201712316542915,0,1.23720186916419,3.1117278499786,7.48228045642804,5.38819992212591,10.2769295619978,9.91937372663574,2.0063094958795,6.63859739536907,7.13398421973999,0.995096328364023,20.8353364753359,8.10419161423781
TraesCS1A02G164700,4.42202855586487,2.38837394234999,1.18989165586119,7.1640186712082,10.7386634084823,18.6652137346975,0.477087636812292,0.634793003287589,0.816640853995878,4.26140335163519,6.28437647432063,6.11386020210449,3.06868988352096,7.8011085672653,14.7217212822245
TraesCS1A02G256700,0,0,0,0,0.0544596845245517,0,0,0.801127690587341,0.815781347442897,1.45849519311361,0.291852109440689,0,0,0.829593660631399,0
TraesCS1A02G310300,0.150909225981904,0,0,0,0,0,0.0690820382744698,1.07352547786634,1.08230222330746,0,1.10030494309116,14.7056617593805,0,0,0
TraesCS2A02G219600,0.605780996730481,8.66733424897771,0,0.135958868395659,1.22051978752426,0.998032024417632,13.9583333985327,37.0699543883011,34.173775079391,0.715844529546036,14.0798396139077,3.89422144005792,1.36334536003442,2.3384820851755,4.36501926119741
TraesCS2A02G219700,0.171373515612437,0,0,0.475053925690296,1.77430920988141,0.312760269272339,8.05430657694198,4.92221430787806,4.99048565200407,1.49815622398202,1.8532646388197,0.189354274714164,0.613196841241304,0.750244531342113,0
TraesCS2A02G231600,1.87645151744596,0.252842736613682,1.15322389176846,12.5852571051316,8.01579093013664,4.38934071001006,0.772730478163284,0.597456787529932,0.417264205916997,1.18827592427024,1.60717078595313,3.56231570098837,2.1853221873414,2.22458440127502,5.67424418040768
TraesCS2A02G300300,0,0.117639375899834,0,0,0.180508533676033,0.0886989434066115,0,0,0,0.0364322797534302,0.144714285603803,0.228045415994477,0.04308786051219,0,0.524942776952975
TraesCS2A02G505300,0.0837824675202262,0,0,0.0572632604563581,0.185188919952298,0.274153216459442,0.169856875241609,0.277315385504627,0.266053066286183,0,0.0606925915352557,0.992727217746735,0,0.19536417919897,0
TraesCS2A02G516300,29.9356227972911,16.6701602487988,10.4135101364256,6.58761314815801,8.2243527731699,3.45189392595294,12.258988482651,11.6073240707967,11.4842420664303,9.25344774573848,91.4690466309218,21.590535183034,7.02777648571988,25.6429001347303,5.94544305903572
TraesCS2A02G575700,1.03283555696108,2.82388019558352,10.3621463717161,0.103656098240324,0.257183622609012,0.0654052988651963,0.465742816884012,1.0775640175045,0.917798780144043,0.0268646283044216,0.0819439504526706,5.65403474020178,0.0843963701969223,0.517346991617444,0
TraesCS2A02G584400,0,0,0,0,0,0,1.88169041740658,6.83095093678853,8.07975823191543,0.0319124077677212,0,0,0,1.03869825437804,0.342418042313308
TraesCS2A02G584600,0,0,0,0,0,0,0.0432337401002494,1.50673303845626,1.95920066895009,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,8.05094507721681,0.516384464118903,0,0,0,0,0,0.470016291518191,0,0,0,0
TraesCS3A02G007100,0.407387916432125,0.609428544263097,0,0.793152595458871,2.5131839163593,0.660009265144045,20.3539032442761,51.753317058004,44.0499112084747,27.5713970714774,30.3240304616585,4.95184881915698,71.061901594314,52.0800099413989,169.36102461196
TraesCS3A02G019600,0,0.0945526483794916,0,23.3934800594706,24.9625442545643,3.14513887970285,4.45375338136717,6.04704427727679,5.75314892469735,0.830166478656813,1.68708275074371,0.157195811083731,3.23990818673753,5.09447414865282,6.48898074941511
TraesCS3A02G196000,0.0433793587972316,0,0,0,0,0,0,0,0,0,0,0.198667691732994,0,0,0
TraesCS3A02G298500,0.177899544386711,0.358418130262831,0.185259655500342,1.11834150665225,3.23227404871143,1.81104552545066,1.35963137034315,0.522251198101853,0.68764398591014,0.217223670753857,0.174634343475645,0.346303815332503,0.233870274233508,0.0488931220752335,0.592958207942502
TraesCS3A02G331900,1.35223999927594,0,0,0,0.108433854412553,0.0813020963798306,0.403758170955561,9.81115472970608,8.391386000819,0,2.3237841564938,32.0927129131777,0,2.56985946552346,11.4215444033114
TraesCS3A02G335900,1.37315575077529,0.20114354161372,0,0.538237151946975,0.0522201544168188,0,1.09131948204336,1.11650394638305,1.42243609025094,0.0935321201285671,0,0,0.240751451761187,0.217761066900913,0
TraesCS3A02G339800,1.14263492093245,0.516436768214098,0,0,0,0,0,0,0,0,0.815468594666952,44.8620100602943,0,0.077377199801292,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,5.69714625594991,0.736500730765342,0.653750821236381,3.2626439866292,11.94256562923,37.1154763061599,1.20856580201297,0.592004571901489,0.62973383773519,3.77588235656766,3.57012608777986,5.735803666917,3.01292729536147,9.68065937404029,9.18617571604799
TraesCS4A02G284700,0,1.4985310603281,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,2.79964967564308,11.6225598169027,0,0.05001782930877,0.608681637826823,2.50930186163066,0.597885383250707,10.7160313825431,10.4610954695224,0.251261205077862,0.839426418702015,2.04605765414863,0.855829364802899,1.75772616504423,1.50891772369408
TraesCS5A02G015800,0,0,0,0,0.144314104835945,5.60315931845546,0.919347694553873,1.57126994578209,0.738196955497943,0.0611786099742201,1.74934826924173,1.88210327560208,0.327972926840865,0.0302488088026286,2.10229857727758
TraesCS5A02G060000,0.404744837249469,0.543015927520411,0,0,0,0,0.0753564400311598,0,0,0,0.0620133836281873,0,0,0.0460851897234613,0
TraesCS5A02G220400,1.14159432563948,2.84970532083012,0.0552195520212375,0.729329269201397,1.51922499588608,0.511399672672211,1.65900668207767,0.466209837817809,0.725182258322689,0.585239263115501,1.64095722231741,0.2766275486278,1.0463855271826,0.452520684093156,0
TraesCS5A02G220500,2.31130130117941,1.15253460797541,7.11439119180012,1.44307109323899,1.22927474816953,2.48623286575692,5.41355068282037,6.55090705638134,7.77716439805559,0.534799422719578,0.52904815127339,3.92161013395259,0.615552463276827,1.62283752679691,0.712128413574761
TraesCS5A02G483100,0,0,0,0,0,0,2.41387995902575,1.92868541562453,3.51772909993818,0,0,0,0,0,0
TraesCS6A02G008800,0.956070048830342,6.4458810139744,0.231662788258999,1.01284150321094,0.758789713610653,1.009425702195,0.402641695177436,3.95944527471273,3.09485678037934,0.450767804703349,0.23107445474465,0.237970621960582,0.637670789291303,2.12199805823512,0.612425358315403
TraesCS6A02G009400,0,0,0,0,0.656226288020601,0,1.12569359150804,1.92254107504038,2.52585895436227,0.211499938061941,1.12828075556236,0,0.317779172049948,0.362966731760554,0
TraesCS6A02G039800,0.515449099498481,0.10320241338489,0.0996164997807658,0,0,0,0,0,0,0.0933707050413482,0.0568320022329375,0.333101897907011,0,0,0
TraesCS6A02G271500,1.91318007798073,0.0866461840820084,0.13008340177557,0.480733673447709,0.270411113406116,0.0481624990581273,0.784882683098307,0.869610540717643,0.826268221499087,1.41337763360598,1.47728112296947,0.651711965258934,0.978201535859035,0.871973890885416,0.443085257031913
TraesCS6A02G329600,0,0,0,0,0,0,0.259666238664888,5.22582608964328,2.84436867611334,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0,0,0.726184755778609,0.450870287849354,0,0,0.140233261837497,0,1.08266975830865,2.75549716521956
TraesCS6A02G329800,0,0,0,0,0,0,7.27920248780501,17.1365244455263,13.3124471317398,0.0850860141863605,0.111572284943939,0.146844555774901,0.0626339399439372,0.253632997550098,0.670597102358909
TraesCS6A02G329900,0.116277273418577,0.327478573307923,0,0,0,0,0.190670298743126,6.68838558943288,3.52001411223624,0.0329943040583882,0.111154766330136,1.54304588077548,0,0,0.0294960010083954
TraesCS6A02G330000,0.0496548537407732,0.136785024780458,0,0,0,0,6.31803056238442,5.21272611360439,3.24124611860674,0,1.1990886978302,4.12722379997402,1.45552896491343,2.4670098489016,1.23857314224791
TraesCS6A02G330100,6.18244546698047,3.36232396020426,0,0.112423031922342,0,0.0522958478578919,22.3156875625285,42.5882209856498,35.0151846464183,0.233944670694904,10.1021497760685,22.3669251084504,0.0994305972917684,0.683710555704212,0.536270379286286
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,0.480565302155965,0,0,0,0,0,0,0.0253450591884892,0,0,0,0,0,0,0
TraesCS7A02G169100,46.3405846909723,23.8769820290392,0,0.991098098232472,2.23430380138587,1.40958605252789,57.2865858171247,44.9679219304371,51.4909588355691,1.746898133031,3.90808720497854,8.86404466766671,12.9830062518294,8.31343648131691,7.16635612689746
TraesCS7A02G209000,0.685789375363477,0.650722376473791,1.51911052219364,2.4716821707443,1.18393651019626,2.59271474308388,0.651713120034035,0.700746007993271,1.02568147218661,1.29983231099666,1.56536293682601,1.04043660370877,1.19100433859907,1.11825654603863,2.01877233346476
TraesCS7A02G300400,0,1.252650023383,58.0291682434458,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G409900,4.7140995952255,4.58555506598508,6.53890314044847,11.359761784905,6.26893976183506,4.76764461393062,12.9568487966451,13.0684321874334,11.8390247737247,4.99392041954328,9.31982193186682,9.50037082333806,8.57069242363958,23.4546420288975,22.2331855845062
TraesCS7A02G477400,1.84615868947052,0.335754205124369,0,0,0,0,0.0378958559434677,0,0,0,0,0,0,0,0
TraesCS7A02G477500,0,5.3152088941231,0,0,0,0,0,8.32540598929807,3.96023017162694,0,0,0,0,0,0
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0.279714190608528,0.780550411193545,0,0,0
TraesCS7A02G526900,0.585662671222183,0,0,0,0,0,0,0,0.0247407240963029,0,0.104161547500882,0.595970044854533,0,0,0
