SRR1542404,SRR1542405,SRR1542406,SRR1542407,SRR1542408,SRR1542409,SRR1542410,SRR1542411,SRR1542412,SRR1542413,SRR1542414,SRR1542415,SRR1542416,SRR1542417
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,0.0720255262063322,0,0,0.0795797517907536,0.46541205954069,0.340378883981991,0,0.0948692878468696,0.121681355772859,0.185907985621116,0.368437155868218,0,0.0621523897560163,0
TraesCS1A02G164700,5.51329414517543,4.24543090363417,3.05530614891701,2.95347532419292,3.28367400255835,3.15815459364734,3.93850579171953,4.10774236037992,3.29292328766758,3.34203144254455,2.6588248361624,2.57257748478687,4.08475757417118,3.30325858634039
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614418322083658
TraesCS1A02G310300,1.64692514191308,1.94129049928424,3.47339048731807,2.72948843794506,71.0356439962067,72.1822642033238,1.1875791017117,1.30156035155766,0.259685820246956,0.17003779172663,0.786298808255343,1.01439030904198,0.170540093842728,0.165106191794066
TraesCS2A02G219600,2.38090160689285,2.90047047455261,2.28041298593254,2.06999354369012,6.36830988262415,5.27011071400688,2.92274358736072,2.57051899874105,0.0439600273745879,0.15111740160676,7.05461317233221,7.3456973246296,0.202085082299186,0.065215355140238
TraesCS2A02G219700,5.94488018944415,6.34732451359326,8.52799290396232,8.1448095193031,2.3048652985324,1.97998407514941,4.50662107337292,4.07179261851935,0.848109229524697,0.920674176773685,1.89219375721022,2.44108599681415,0.547196388167422,0.463540983564656
TraesCS2A02G231600,0.782450006141213,0.462693436186435,0.771922661941049,1.13052015078787,0.534770124124052,0.406341684021478,0.918102721014745,1.03061343343396,0.745679617549555,1.0098066071342,0.615772405350782,1.23572895586172,0.57131723174054,0.251415185276015
TraesCS2A02G300300,0,0.161456982495072,0,0,0,0,0.232997933581432,0.11065624554456,0,0,0,0,0.0724950113794903,0
TraesCS2A02G505300,0,0,0,0,0.318678373087813,0.266360312654371,0,0,0.0370302360842542,0,0,0,0,0
TraesCS2A02G516300,2.79821216783919,2.79817971936711,2.82041371287578,3.58184290277397,2.31530004351417,2.30380076695689,19.5908136182073,19.4173400267756,4.91952417527668,4.18381047868115,26.1839419047217,23.0033846455592,2.59131884011186,2.67980317192811
TraesCS2A02G575700,0.123897120767773,0,0.0882773431564846,0.239560606021477,0.450334203253965,0.167289752940035,0,0.163192582305395,0.279085678378117,0.399744808531643,0.3168897556206,0.317966381274626,0.641481086931361,0.724548578668149
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0.768773405902502,0.525322402248356,0.365170034309557,0.283134790526875,0.41396945523662,0,0.284284006248312,0,0.115447206615616,0.132287466049181,0,0.175374246977529,0,0
TraesCS3A02G007100,0.0307626108512239,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G019600,89.4354463690191,99.015310906156,67.4518351324383,62.5944485179146,37.0329830189213,37.3353088367746,55.0579942001263,68.0390673776768,19.7732203130896,21.4375145919349,59.6407646061678,53.6048923311516,19.6362706385414,18.9541908179588
TraesCS3A02G196000,0.0426691505961684,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,1.02854426227626,1.05424564350679,1.11392157000506,0.500025096933524,0.398772709050477,0.388856303102046,0.342309987721692,0.325142266040299,0.0926742999031677,0.318578040858729,0.420910688349069,0.703901204548042,0.142008506677874,0.20622555563006
TraesCS3A02G331900,0.0385025977581961,0,0,0,0.684185582895705,0.259937035929634,0.106783799923636,0,0.0433647026988094,0,0.262606668473427,0.131749434293882,0,0
TraesCS3A02G335900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,7.35920469722921,6.68291957563892,13.9457947347516,14.8926734350287,14.4746042657104,14.6085856721307,6.37369634085306,7.21042866522575,6.92164499855174,7.33145736794554,14.7057851410116,14.4023166248726,10.7400042527724,9.88006395637021
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,0.373338054498532,0.294359283343842,0.245543359593157,0.253842908423457,0.0927854983135347,0.1551054381326,0.477887308749157,0.15130667918161,0.129379431975395,0.074125991077,0.0979365113950606,0.196538496878592,0.148689927645972,0.0959681568464534
TraesCS5A02G015800,0,0,0,0.0384072161152286,0,0,0.0964077678847237,0,0,0,0,0,0,0
TraesCS5A02G060000,0.0775579966328057,0,0,0.0856924821867412,0,0,0,0.204312895578326,0,0,0,0,0,0
TraesCS5A02G220400,0.0345023278612407,0,0.0163887254061006,0.0127070074181531,0.148630634300838,0.155287060425495,0,0,0.0129530930139301,0.0296851158645597,0.039220476460317,0.0787074542534876,0.0198485383508675,0.0192161063474749
TraesCS5A02G220500,1.33831214234739,1.55881140757254,1.64704844754126,1.7027199144418,5.24112679662939,6.10557361068082,1.5184223441844,0.961513052502056,5.04721839823609,5.73111611078609,3.0426491850979,1.52649325785096,3.88452435975102,4.50612644571092
TraesCS5A02G483100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G008800,0.437297837681303,0.0329577269029623,0.476529505724719,0.284213399252692,0.415546481732759,0.312592852636522,0.356708741173478,0.474346439234348,1.21681355772859,0.92953992810558,0.350892529398303,0.0880211696734837,1.37623148745465,1.59026090762919
TraesCS6A02G009400,0,0,0,0.0440478330945131,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G039800,1.70586772593945,1.59367955747877,0.658363132909151,0.863859147728576,0.688932324977995,0.575828939067278,0.689949802006595,0.655347054205349,0.0800535235347758,0,0.848375029959713,0.486432779774515,0,0
TraesCS6A02G271500,0.123755199667237,0.237839266310037,0.132264335450953,0.205102453068953,0.199919269562152,0.125323594986006,0.429031131995592,0.244508473832138,0.13938299630339,0.0798573821396546,0,0,0.213582095381499,0.155082562738985
TraesCS6A02G329600,0.730482010206209,0.701939416797372,0.520472232809024,0.484258124487345,0.236010172180877,0.147947935662992,0.10129659992756,0.192432632549431,0.0822727219559562,0.0471369131899381,0.12455617169311,0,0.504279024389585,0.305132019993541
TraesCS6A02G329700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0,0,0,0,0,0.110818019373091,0,0
TraesCS6A02G329900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G330000,0,0,0,0.0539645694783591,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G330100,1.00781986296174,1.46342145576586,1.53189737776029,1.15064006787004,0,0,1.4907230974414,2.1239392801538,0.340526182200166,0.173421628377907,2.86409480618951,2.06915436172741,0.231911902074688,0.112261258102101
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G169100,2.11839782959801,3.48964167207837,3.19123831888047,2.94244460402787,62.8697382950974,71.0178271741537,4.70016223663876,6.61693352209258,14.8608042344444,13.5134796270811,23.736847576944,21.228635038899,24.9131848013612,37.1145153004715
TraesCS7A02G209000,0.808266503562331,0.789012913387627,0.658164673166694,0.361468413014645,0.839383167589863,0.623626638676354,0.213491515914301,0.101392185087499,0.195071642671132,0.198690401447577,0,0.131702498264564,0.199277345138635,0.289391686365089
TraesCS7A02G300400,0,0,0,0,0,0,0.101502487325786,0.19282375578632,0,0,0,0.250466742973328,0,0
TraesCS7A02G409900,3.89186921143726,3.29102373829292,2.51416586926365,2.60870223809747,3.05971544906974,3.74851179354395,2.66246582028619,3.07573339561177,4.44177859689592,4.11863873043899,2.38900173113398,2.75224694800374,2.64192434841856,3.46812878056059
TraesCS7A02G477400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
