C,D 1Hr,D 6Hr,H 1Hr,H 6Hr,DH 1Hr,DH 6Hr
TraesCS1A02G019700,0,0,0,0,0,0,0
TraesCS1A02G095600,0.0360127631031661,0.0397898758953768,0.402895471761341,0.0474346439234348,0.153794670696988,0.184218577934109,0.0310761948780082
TraesCS1A02G164700,4.8793625244048,3.00439073655497,3.22091429810284,4.02312407604973,3.31747736510606,2.61570116047463,3.69400808025578
TraesCS1A02G256700,0,0,0,0,0,0,0.0307209161041829
TraesCS1A02G310300,1.79410782059866,3.10143946263156,71.6089540997653,1.24456972663468,0.214861805986793,0.90034455864866,0.167823142818397
TraesCS2A02G219600,2.64068604072273,2.17520326481133,5.81921029831551,2.74663129305088,0.0975387144906738,7.2001552484809,0.133650218719712
TraesCS2A02G219700,6.1461023515187,8.33640121163271,2.1424246868409,4.28920684594613,0.884391703149191,2.16663987701218,0.505368685866039
TraesCS2A02G231600,0.622571721163824,0.951221406364457,0.470555904072765,0.974358077224352,0.877743112341875,0.925750680606252,0.411366208508278
TraesCS2A02G300300,0.080728491247536,0,0,0.171827089562996,0,0,0.0362475056897451
TraesCS2A02G505300,0,0,0.292519342871092,0,0.0185151180421271,0,0
TraesCS2A02G516300,2.79819594360315,3.20112830782488,2.30955040523553,19.5040768224914,4.55166732697892,24.5936632751405,2.63556100601999
TraesCS2A02G575700,0.0619485603838866,0.163918974588981,0.308811978097,0.0815962911526975,0.33941524345488,0.317428068447613,0.683014832799755
TraesCS2A02G584400,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0.647047904075429,0.324152412418216,0.20698472761831,0.142142003124156,0.123867336332399,0.0876871234887646,0
TraesCS3A02G007100,0.0153813054256119,0,0,0,0,0,0
TraesCS3A02G019600,94.2253786375875,65.0231418251765,37.184145927848,61.5485307889015,20.6053674525123,56.6228284686597,19.2952307282501
TraesCS3A02G196000,0.0213345752980842,0,0,0,0,0,0
TraesCS3A02G298500,1.04139495289153,0.80697333346929,0.393814506076262,0.333726126880996,0.205626170380948,0.562405946448555,0.174117031153967
TraesCS3A02G331900,0.0192512988790981,0,0.472061309412669,0.0533918999618178,0.0216823513494047,0.197178051383654,0
TraesCS3A02G335900,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0
TraesCS4A02G271100,7.02106213643407,14.4192340848901,14.5415949689205,6.7920625030394,7.12655118324864,14.5540508829421,10.3100341045713
TraesCS4A02G284700,0,0,0,0,0,0,0
TraesCS4A02G415600,0.333848668921187,0.249693134008307,0.123945468223067,0.314596993965383,0.101752711526198,0.147237504136826,0.122329042246213
TraesCS5A02G015800,0,0.0192036080576143,0,0.0482038839423618,0,0,0
TraesCS5A02G060000,0.0387789983164028,0.0428462410933706,0,0.102156447789163,0,0,0
TraesCS5A02G220400,0.0172511639306203,0.0145478664121269,0.151958847363167,0,0.0213191044392449,0.0589639653569023,0.0195323223491712
TraesCS5A02G220500,1.44856177495997,1.67488418099153,5.67335020365511,1.23996769834323,5.38916725451109,2.28457122147443,4.19532540273097
TraesCS5A02G483100,0,0,0,0,0,0,0
TraesCS6A02G008800,0.235127782292132,0.380371452488705,0.364069667184641,0.415527590203913,1.07317674291709,0.219456849535893,1.48324619754192
TraesCS6A02G009400,0,0.0220239165472565,0,0,0,0,0
TraesCS6A02G039800,1.64977364170911,0.761111140318863,0.632380632022637,0.672648428105972,0.0400267617673879,0.667403904867114,0
TraesCS6A02G271500,0.180797232988637,0.168683394259953,0.162621432274079,0.336769802913865,0.109620189221522,0,0.184332329060242
TraesCS6A02G329600,0.716210713501791,0.502365178648184,0.191979053921935,0.146864616238495,0.0647048175729472,0.0622780858465548,0.404705522191563
TraesCS6A02G329700,0,0,0,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0.0554090096865455,0
TraesCS6A02G329900,0,0,0,0,0,0,0
TraesCS6A02G330000,0,0.0269822847391796,0,0,0,0,0
TraesCS6A02G330100,1.2356206593638,1.34126872281516,0,1.8073311887976,0.256973905289036,2.46662458395846,0.172086580088395
TraesCS7A02G109400,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0
TraesCS7A02G169100,2.80401975083819,3.06684146145417,66.9437827346256,5.65854787936567,14.1871419307628,22.4827413079215,31.0138500509163
TraesCS7A02G209000,0.798639708474979,0.50981654309067,0.731504903133108,0.1574418505009,0.196881022059354,0.065851249132282,0.244334515751862
TraesCS7A02G300400,0,0,0,0.147163121556053,0,0.125233371486664,0
TraesCS7A02G409900,3.59144647486509,2.56143405368056,3.40411362130685,2.86909960794898,4.28020866366745,2.57062433956886,3.05502656448958
TraesCS7A02G477400,0,0,0,0,0,0,0
TraesCS7A02G477500,0,0,0,0,0,0,0
TraesCS7A02G490000,0,0,0,0,0,0,0
TraesCS7A02G526900,0,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0,0,0,0,0
TraesCS1B02G128000,0.563765633957012,0.500718336838775,6.41946587272375,0.367862063602694,0.26467138660679,0.585295566027485,0.665304008169689
TraesCS1B02G181600,3.6636811308098,3.82068235395042,3.91010554931803,4.05524810350525,4.4327349497662,3.41199235807531,3.89547308483104
TraesCS1B02G267300,0.0548603364807879,0,0.054232597645814,0,0,0,0.0305545198084257
TraesCS1B02G321500,0.0374560398635167,0,0.336503107975112,0,0,0.112177214057272,0
TraesCS2B02G245100,2.05185364577971,2.17769628006766,9.58685308037578,1.93565361948257,0.0341417945490626,3.83128686554756,0.205933373903607
TraesCS2B02G245300,2.69957390946474,3.54137265989286,0.773782631584317,1.01041339546752,0.322788989180156,0.681251699552927,0.224844422581239
TraesCS2B02G255800,1.91321877382955,1.90436716274442,2.49780345387772,0.473359080371654,2.09478802966253,0.943091890881149,1.78983926233756
TraesCS2B02G316600,0,0,0,2.26518748552084,0.219858735996916,4.31314123234553,0.207564068040853
TraesCS2B02G533700,0,0,0.071012009506088,0,0.0578706438361472,0,0
TraesCS2B02G545100,11.1054282435393,9.2332101178065,3.3057059397766,11.6304609467619,9.45130415839037,15.5855886284927,5.06107859224328
TraesCS2B02G611600,0.440163625406729,0.637945314130621,1.56988369427159,0.582544881359521,1.54570407559945,0.521511146629443,2.00074444502889
TraesCS2B02G598400,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0,0,0,0,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0
TraesCS3B02G006900,0,0,0,0,0,0,0
TraesCS3B02G026700,38.0809924120455,20.2536801979547,17.5817613846422,16.1659301602386,3.47983258400568,14.465666188518,2.02367062732532
TraesCS3B02G227600,0,0,0,0,0,0,0
TraesCS3B02G338000,0.719686234440086,0.389570569489377,0.0798012388204105,0.368765500159461,0.0476134837689089,0.67229669442068,0.201834588462537
TraesCS3B02G362000,0.477510219315354,0.366874777535436,0.976438191484987,1.11741915134267,0.374172050938882,1.63282446305238,0.202502515789643
TraesCS3B02G366800,0,0,0,0,0.0265481700715607,0,0
TraesCS3B02G371400,0,0,0,0,0,0,0
TraesCS4B02G262500,0,0,0,0,0,0,0
TraesCS4B02G043000,5.33564613521128,6.81477457213614,13.1511967956601,3.06539293287731,1.941075035922,4.94868710102871,3.89601077761519
