3DAA,7DAA,10DAA,13DAA,15DAA,17DAA,19DAA,21DAA,23DAA,26DAA
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,15.5684794482841,14.9060580349555,16.1098597354821,13.1727116204091,13.9455896146964,11.2679403100502,10.7704978554807,9.21180912620297,9.68297554021237,9.39570727404803
TraesCS1A02G164700,19.4264978671761,16.2707034930391,18.0048391442649,17.2883540964555,15.5503935114924,16.295236168563,14.2044550277609,18.002224890922,13.5905221187756,8.43724227736722
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0.0450047732012249,0.552621704819423
TraesCS1A02G310300,0,0,0,0,0,0.0429752785723994,0.0354383941484084,0,0,0
TraesCS2A02G219600,0.786216892956647,1.41448790521902,2.47926154383597,3.37566841102601,7.55084458453222,6.3304676392988,7.54675629609751,14.6090477497823,33.6344014484687,33.7706342414731
TraesCS2A02G219700,0.582537945909091,0.111815343756476,0.152279068944933,0.246761185298493,0.186040497803708,0.13764385410364,0.17248473206794,0.38187822539855,0.22982082808677,0.418343990892296
TraesCS2A02G231600,4.52253642778069,3.00760482616882,4.05483973778226,3.72132182755988,2.86271469930813,2.79837225718337,3.21668060973398,3.62775545238539,1.7040304317514,1.4738697734254
TraesCS2A02G300300,0.0388385313180474,0.132459730820192,0.15152160270927,0.0360587855887706,0.0779162227797901,0.0903129954566829,0.0594799388561543,0,0,0.101604954357761
TraesCS2A02G505300,1.23042635971781,1.3908562378751,2.28381730850362,2.23946031507213,2.0831499532864,2.51409113122378,1.66528116976646,1.79285592442173,2.51875074388584,3.51720861030265
TraesCS2A02G516300,4.57943955784273,5.99950297068016,5.50239777581422,5.89098552726525,4.21190133329006,5.46897699844544,5.82782281522043,4.89657505216471,5.36366868626072,5.91269646228137
TraesCS2A02G575700,0,0.0178623937536824,0,0,0,0,0,0.0357561506080635,0,0.103356039823638
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0
