LC,LN,RC,RN
TraesCS1A02G019700,0,0,0,0
TraesCS1A02G095600,1.0694704698978,2.71487001864818,5.74908401078501,5.12409596621444
TraesCS1A02G164700,13.9541089016949,7.89671323539052,3.49534581676065,3.27289858890882
TraesCS1A02G256700,0,0,0.10034881588356,0
TraesCS1A02G310300,0,0,0,0
TraesCS2A02G219600,0.14488852103023,0,20.1307410337626,17.3850956380736
TraesCS2A02G219700,2.94241692011502,1.42273871640718,2.75789909654453,5.1487774071184
TraesCS2A02G231600,0.446853956781812,0,0.12318585838408,0
TraesCS2A02G300300,0,0,0,0
TraesCS2A02G505300,0.244097033604185,0.118027563631344,0,0
TraesCS2A02G516300,4.56028153620352,6.49255983161961,8.8466070755718,10.8719386247924
TraesCS2A02G575700,0.574901700418114,0.444769006986924,0,0
TraesCS2A02G584400,0,0,2.92678511978059,3.87038584044914
TraesCS2A02G584600,0,0,3.03567566995365,2.75271970106785
TraesCS2A02G707500_M,0,0,0,0
TraesCS3A02G007100,0,0.110432395812243,7.21951441106698,6.94622794271171
TraesCS3A02G019600,4.76248568626366,0.121199554403937,0.598862917790105,1.14874434025188
TraesCS3A02G196000,0,0,0,0
TraesCS3A02G298500,1.67995646927968,1.0338423528744,0.449085789894742,0.254516505490965
TraesCS3A02G331900,0,0,1.94378445820353,1.07185372251844
TraesCS3A02G335900,0,0,0.0481111000433907,0.436266542701876
TraesCS3A02G339800,0,0,0,0
TraesCS4A02G041500,0,0,0,0
TraesCS4A02G271100,12.1734061015495,12.6066075708875,1.62069093798175,1.19806466913111
TraesCS4A02G284700,0,0,0,0
TraesCS4A02G415600,0.106605908083912,0,10.3839151491843,3.10906592499662
TraesCS5A02G015800,0,0,0.426869914670702,1.07522577770154
TraesCS5A02G060000,0,0.27841965117918,0,0
TraesCS5A02G220400,0,0.123857326195209,0.0313843752465295,0
TraesCS5A02G220500,0.903268977954227,5.8961945385699,15.0234494968828,15.3667684063178
TraesCS5A02G483100,0,0,2.69394025096764,3.66425626874602
TraesCS6A02G008800,0.381953739249216,1.84685035282189,0.70196385968071,0.397833537749568
TraesCS6A02G009400,0,0,0.108791446887785,0.123313716498021
TraesCS6A02G039800,0,0,0,0
TraesCS6A02G271500,0.459394531743043,0.222129767521534,1.64635853688001,1.43548183724071
TraesCS6A02G329600,0,0,1.34554938620339,1.35570049375106
TraesCS6A02G329700,0,0,0.105144372705384,0
TraesCS6A02G329800,0,0,6.31893726205387,9.31617385161758
TraesCS6A02G329900,0,0,2.54338313947694,2.70638871454988
TraesCS6A02G330000,0,0,65.575864360046,36.1071704514481
TraesCS6A02G330100,0,0.120596571546206,100.566799971794,89.67583587855
TraesCS7A02G109400,0,0,0,0
TraesCS7A02G109600,0,0,0,0.324446768650133
TraesCS7A02G169100,13.8177382140157,10.972463860883,58.7997962461959,90.9868702806071
TraesCS7A02G209000,2.64319607585181,1.93435697801794,0.892771991115117,0.476209720996989
TraesCS7A02G300400,0,0,0,0
TraesCS7A02G409900,13.5802716368507,13.1328623792162,23.2942762081365,29.7744581422371
TraesCS7A02G477400,0,0,0,0
