Geneid,LC,LN,RC,RN
TaUMAMIT22,0,0,0,0
TaUMAMIT29,9,34,170,76
TaUMAMIT43,470,265,304,110
TaUMAMIT19,5,0,95,39
TaUMAMIT20,0,0,8,3
TaUMAMIT30,4,0,1097,419
TaUMAMIT31,56,25,167,134
TaUMAMIT47,4,2,3,0
TaUMAMIT8,0,1,0,0
TaUMAMIT27,2,3,0,0
TaUMAMIT44,320,456,1031,469
TaUMAMIT9,26,28,2,4
TaUMAMIT35,0,0,413,201
TaUMAMIT34,0,0,150,77
TaUMAMIT84,0,0,2,4
TaUMAMIT39,0,5,308,143
TaUMAMIT37,358,6,52,18
TaUMAMIT5,0,0,1,0
TaUMAMIT45,66,14,36,7
TaUMAMIT21,0,0,661,193
TaUMAMIT26,0,0,2,10
TaUMAMIT91,0,0,0,0
TaUMAMIT7,0,0,0,0
TaUMAMIT42,319,271,117,33
TaUMAMIT92,0,0,0,0
TaUMAMIT52,7,1,498,97
TaUMAMIT75,0,0,33,27
TaUMAMIT93,0,2,0,0
TaUMAMIT49,16,3,21,12
TaUMAMIT48,22,104,1410,801
TaUMAMIT32,0,5,438,241
TaUMAMIT68,25,58,106,42
TaUMAMIT71,0,0,55,21
TaUMAMIT28,33,8,35,21
TaUMAMIT50,50,14,193,86
TaUMAMIT15,0,0,52,28
TaUMAMIT10,0,0,71,4
TaUMAMIT12,0,1,1525,912
TaUMAMIT16,0,0,102,47
TaUMAMIT13,0,0,1763,592
TaUMAMIT14,1,1,6574,2887
TaUMAMIT76,0,0,0,0
TaUMAMIT78,0,0,0,2
TaUMAMIT17,344,259,6022,3709
TaUMAMIT41,136,114,122,43
TaUMAMIT46,0,0,0,0
TaUMAMIT51,694,1233,2052,1056
TaUMAMIT1,0,0,0,0
TaUMAMIT2,0,0,71,24
TaUMAMIT18,0,0,0,0
TaUMAMIT6,0,0,0,0
