Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS1A02G019700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G095600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1A02G164700,0,1,5,3,61,10,0,5,2,14,4,0,6,10,21,0,4,5,12,0,1,1,10,73,1,51,38,79,15,62
TraesCS1A02G256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A02G310300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B02G128000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS1B02G181600,0,0,0,4,44,8,0,1,1,2,3,2,3,3,17,1,4,2,6,0,1,2,10,54,0,18,16,36,6,42
TraesCS1B02G267300,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
TraesCS1B02G321500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G019300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G104500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TraesCS1D02G161800,3,2,9,1,38,12,0,1,1,9,1,0,4,6,14,3,6,6,8,0,2,1,7,55,2,41,23,40,13,56
TraesCS1D02G256100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D02G309800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G219600,1,47,9,59,0,0,0,3,1,2,2,2,10,6,0,45,1,11,3,8,2,1,125,0,1,0,3,1,0,1
TraesCS2A02G219700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G231600,1,4,2,6,6,2,2,3,1,1,0,1,3,5,8,1,4,0,7,0,1,0,3,2,2,4,9,6,4,6
TraesCS2A02G300300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TraesCS2A02G505300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G516300,6,28,17,20,73,44,11,22,9,23,25,24,22,21,53,17,27,16,27,6,11,11,41,91,30,47,53,81,45,76
TraesCS2A02G575700,0,0,0,5,0,8,0,1,0,0,7,2,1,0,2,0,1,0,0,1,0,0,11,0,7,0,2,0,0,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G245100,4,62,10,87,0,3,1,2,1,3,6,6,5,3,2,73,5,13,2,2,4,1,141,3,5,1,0,0,2,0
TraesCS2B02G245300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G255800,0,2,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,2,1,1,0,2,0,0,0,0,2,1,1
TraesCS2B02G316600,0,1,0,2,77,10,0,3,0,3,5,2,2,8,18,0,3,0,10,0,0,0,5,76,4,15,6,62,22,77
TraesCS2B02G533700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
