C,D 1Hr,D 6Hr,H 1Hr,H 6Hr,DH 1Hr,DH 6Hr
TraesCS1A02G019700,0,0,0,0,0,0,0
TraesCS1A02G095600,1,1,7.5,0.5,3.5,1.5,0.5
TraesCS1A02G164700,158.5,86.5,78.5,53.5,99,27.5,78
TraesCS1A02G256700,0,0,0,0,0,0,0.5
TraesCS1A02G310300,48,74.5,1479,14,5.5,8,3
TraesCS1B02G023900,0,0,0,0,0,0,0
TraesCS1B02G128000,14.5,11.5,127,4,6.5,5,11.5
TraesCS1B02G181600,117,109,93.5,53.5,131.5,35.5,81.5
TraesCS1B02G267300,1.5,0,1,0,0,0,0.5
TraesCS1B02G321500,1,0,7,0,0,1,0
TraesCS1D02G019300,0,0,0,0,0,0,0
TraesCS1D02G104500,33.5,44.5,344,94,73.5,121,90
TraesCS1D02G161800,150,112,96.5,69,136.5,41.5,88
TraesCS1D02G256100,0,0,0,0,0,0,0
TraesCS1D02G309800,2,4,285.5,2,3,0.5,0.5
TraesCS2A02G219600,59.5,44.5,100.5,26,2,54,2
TraesCS2A02G219700,137.5,168.5,36.5,40,18.5,16,7.5
TraesCS2A02G231600,19,26,10.5,12,24,9,8
TraesCS2A02G300300,1.5,0,0,1.5,0,0,0.5
TraesCS2A02G505300,0,0,6,0,0.5,0,0
TraesCS2A02G516300,73,76.5,46,211.5,111.5,211,45.5
TraesCS2A02G575700,2,4.5,6.5,1,9,3,13
TraesCS2A02G584400,0,0,0,0,0,0,0
TraesCS2A02G584600,0,0,0,0,0,0,0
TraesCS2B02G245100,61.5,58.5,213.5,23.5,1,37,4
TraesCS2B02G245300,124.5,150,28,19.5,14.5,10.5,7
TraesCS2B02G255800,67.5,62,68,7,69.5,11,42
TraesCS2B02G316600,0,0,0,20.5,4.5,31,3
TraesCS2B02G533700,0,0,1,0,1,0,0
TraesCS2B02G545100,350.5,264,80,151.5,278,161,105
TraesCS2B02G598400,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0,0,0,0,0,0
TraesCS2B02G611600,13,16,35.5,7,42,5,38.5
TraesCS2D02G225400,4.5,6,56,4.5,0,11.5,0
TraesCS2D02G225500,120,124,29.5,19.5,55.5,9,22.5
TraesCS2D02G298200,0.5,0,0,0,0,0,0
TraesCS2D02G506100,0,0,0,0,0,0,0
TraesCS2D02G518100,13.5,15.5,8,4,13,8,6
TraesCS2D02G548200,2.5,2,0.5,1.5,1,1,1
TraesCS2D02G586500,3.5,10.5,9.5,0,8,1.5,1.5
TraesCS2D02G601600,0,0,0,0,0,0,0
TraesCS2D02G601700,0,0,0,0,0,0,0
TraesCS3A02G007100,0.5,0,0,0,0,0,0
TraesCS3A02G019600,2469,1540,749,676.5,506,491,336.5
TraesCS3A02G196000,0.5,0,0,0,0,0,0
TraesCS3A02G298500,22.5,15,6.5,3,4,4,2.5
