C,D 1Hr,D 6Hr,H 1Hr,H 6Hr,DH 1Hr,DH 6Hr
TaUMAMIT22,0,0,0,0,0,0,0
TaUMAMIT29,49,57,478.5,98.5,83.5,127.5,102
TaUMAMIT43,425.5,307.5,268.5,176,367,104.5,247.5
TaUMAMIT19,1.5,0,1,0,0,0,1
TaUMAMIT20,51,78.5,1771.5,16,8.5,9.5,3.5
TaUMAMIT30,125.5,109,370,54,3,102.5,6
TaUMAMIT31,382,442.5,94,79,88.5,35.5,37
TaUMAMIT47,86.5,88,78.5,19,93.5,20.5,50
TaUMAMIT8,2,0,0,22,4.5,31,3.5
TaUMAMIT27,0,0,7,0,1.5,0,0
TaUMAMIT44,437,356,134,367,402.5,380,156.5
TaUMAMIT9,18.5,31,51.5,8,59,9.5,53
TaUMAMIT35,0,0,0,0,0,0,0
TaUMAMIT34,0,0,0,0,0,0,0
TaUMAMIT84,14,7,3,2.5,3,1.5,1
TaUMAMIT39,0.5,0,0,0,0,0,0
TaUMAMIT37,4415,2444,1292,1020,674,716,389
TaUMAMIT5,0.5,0,0,0,0,0,0
TaUMAMIT45,92,47.5,20,16.5,9.5,21,11
TaUMAMIT21,17.5,16.5,39.5,17,12.5,26,5
TaUMAMIT26,2.5,2,1,0.5,2.5,1.5,0
TaUMAMIT91,0,0,0,0,0,0,0
TaUMAMIT7,0,0,0,0,0,0,0
TaUMAMIT42,656,918,1102.5,203.5,402.5,336.5,467.5
TaUMAMIT92,0,0,0,0,0,0,0
TaUMAMIT52,65,80,6.5,17.5,5,14.5,5.5
TaUMAMIT75,10.5,8.5,1,2,5.5,2,3
TaUMAMIT93,1,1,0,1.5,0,0,0
TaUMAMIT49,8,10,21.5,15.5,16.5,39,21
TaUMAMIT48,200,193.5,450.5,123.5,554,138.5,253
TaUMAMIT32,1,1.5,1,1.5,34,5.5,46
TaUMAMIT68,25.5,23.5,29.5,17.5,79.5,7.5,68
TaUMAMIT71,6,5.5,0.5,0.5,1.5,0,1.5
TaUMAMIT28,89.5,61,55,22,2.5,9,3
TaUMAMIT50,1514,586.5,656,157,376.5,64,583
TaUMAMIT15,55,73.5,42,5.5,8.5,7.5,22
TaUMAMIT10,2.5,3.5,0.5,2.5,0.5,3.5,0.5
TaUMAMIT12,0.5,0.5,0,0,0,0.5,0
TaUMAMIT16,0,0,0,0,0,0,0
TaUMAMIT13,5.5,5.5,7,1.5,0,1.5,3.5
TaUMAMIT14,46.5,39.5,1.5,23,7,28.5,4.5
TaUMAMIT76,0,0,0,0,0,0,0
TaUMAMIT78,0,0,0,0,0,0,0
TaUMAMIT17,845.5,999,5884,577.5,1244.5,1119,2166.5
TaUMAMIT41,122.5,81,113.5,11,63.5,26,59
TaUMAMIT46,0,0,0,1.5,0,1,0
TaUMAMIT51,711.5,618.5,844,259.5,914,221.5,560.5
TaUMAMIT1,0,0,0,0,0,0,0
TaUMAMIT2,0,0,0,0,0,0,0
TaUMAMIT18,0,0,0,0,0,0,0
TaUMAMIT6,0,0,0,0,0,0,0
