3DAA	7DAA	10DAA	13DAA	15DAA	17DAA	19DAA	21DAA	23DAA	26DAA
TraesCS1A02G095600	12.1166666666667	11.7666666666667	13.7233333333333	11.12	12.8866666666667	9.98333333333333	9.40333333333333	7.92666666666667	9.15666666666667	9.20666666666667
TraesCS1A02G164700	14.91	12.8733333333333	15.34	14.5733333333333	14.29	14.4	12.38	15.4266666666667	12.82	8.14
TraesCS1A02G256700	0	0	0	0	0	0	0	0	0.04	0.546666666666667
TraesCS1A02G310300	0	0	0	0	0	0.0366666666666667	0.03	0	0	0
TraesCS1B02G128000	0.866666666666667	0.626666666666667	1.14666666666667	0.49	0.986666666666667	0.433333333333333	0.313333333333333	0.43	0.663333333333333	1.14666666666667
TraesCS1B02G181600	10.71	9.13	10.1233333333333	10.06	10.7333333333333	10.21	9.37666666666667	9.46333333333333	8.99333333333333	5.98
TraesCS1B02G267300	0.0566666666666667	0.0333333333333333	0.223333333333333	0.0966666666666667	0.72	0.18	0.08	0.47	1.99666666666667	2.54333333333333
TraesCS1B02G321500	0	0	0	0	0	0	0	0	0	0
TraesCS1D02G104500	5.94333333333333	6.29333333333333	6.84333333333333	5.49666666666667	6.61333333333333	5.76333333333333	5.04	3.90666666666667	5.59666666666667	6.21666666666667
TraesCS1D02G161800	21.0033333333333	18.5366666666667	18.7233333333333	19.63	19.8666666666667	20.2933333333333	17.0366666666667	20.4933333333333	16.5066666666667	10.0733333333333
TraesCS1D02G256100	0	0	0	0.0633333333333333	0.0533333333333333	0	0.0433333333333333	0.296666666666667	1.72333333333333	3.66666666666667
TraesCS1D02G309800	0	0	0	0	0	0	0	0	0.0366666666666667	0
TraesCS2A02G219700	0.463333333333333	0.09	0.136666666666667	0.206666666666667	0.176666666666667	0.12	0.15	0.343333333333333	0.216666666666667	0.416666666666667
TraesCS2A02G516300	3.55333333333333	4.73333333333333	4.70666666666667	4.96	3.86	4.82333333333333	5.07666666666667	4.17666666666667	5.05	5.78333333333333
TraesCS2A02G575700	0	0.0133333333333333	0	0	0	0	0	0.03	0	0.103333333333333
TraesCS2B02G245300	0.79	0.543333333333333	0.84	0.176666666666667	0.816666666666667	0.21	0.146666666666667	0.27	0.55	2.15
TraesCS2B02G545100	16.9866666666667	15.8366666666667	24.04	17.4466666666667	21.2866666666667	26.03	20.15	20.3466666666667	27.8266666666667	31.7366666666667
TraesCS2B02G611600	0.0566666666666667	0.07	0	0.05	0	0.0933333333333333	0	0	0.136666666666667	0.0433333333333333
TraesCS2D02G225500	0.6	0.21	0.836666666666667	0.146666666666667	1.09	0.07	0.523333333333333	0.24	0.203333333333333	1.55666666666667
TraesCS2D02G518100	0.846666666666667	1.01666666666667	0.776666666666667	0.743333333333333	0.996666666666667	1.38666666666667	1.01	0.97	1.35333333333333	1.11666666666667
TraesCS2D02G586500	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G019600	0.0966666666666667	0.0866666666666667	0	0.0233333333333333	0.103333333333333	0	0	0	0	0
TraesCS3A02G196000	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G331900	0	0.03	0.18	0	0.0566666666666667	0.03	0.116666666666667	0.223333333333333	0.336666666666667	4.59666666666667
TraesCS3A02G335900	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G339800	0	0	0	0	0	0	0	0	0.0933333333333333	0
TraesCS3B02G026700	0	0.0433333333333333	0	0.0233333333333333	0	0	0	0	0	0
TraesCS3B02G227600	0	0	0	0	0	0	0	0	0	0
TraesCS3B02G362000	0.02	0	0	0.0366666666666667	0	0	0.0433333333333333	0.0333333333333333	0.0766666666666667	0.48
TraesCS3B02G366800	0	0	0	0	0	0	0	0	0	0
TraesCS3B02G371400	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G027300	6.98666666666667	8.49666666666667	2.70666666666667	4.24666666666667	4.07	2.10666666666667	3.27333333333333	2.11333333333333	0.483333333333333	0.346666666666667
TraesCS3D02G199100	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G325400	0	0.01	0	0	0	0.0233333333333333	0	0	0.0366666666666667	1.23
TraesCS3D02G328900	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G333300	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G041500	0	0	0	0	0	0	0	0	0	0
