3DAA	7DAA	10DAA	13DAA	15DAA	17DAA	19DAA	21DAA	23DAA	26DAA
TraesCS1A02G095600	11.0566666666667	10.07	13.55	8.8	10.12	9.93	8.00666666666667	6.86	7.45666666666667	8.23333333333333
TraesCS1A02G164700	18.95	17.6266666666667	20.7966666666667	17.9866666666667	17.3733333333333	17.6066666666667	15.67	18.9866666666667	15.8233333333333	10.9466666666667
TraesCS1A02G256700	0	0	0.08	0	0	0.02	0	0	0	0.44
TraesCS1A02G310300	0	0.0233333333333333	0	0	0	0	0	0	0	0
TraesCS1B02G128000	0.466666666666667	0.33	0.103333333333333	0.0966666666666667	0.743333333333333	0.13	0.333333333333333	0.13	0.13	0.363333333333333
TraesCS1B02G181600	21.0366666666667	20.55	21.35	20.7366666666667	21.7233333333333	22.7533333333333	20.2	21.94	17.2433333333333	12.01
TraesCS1B02G267300	0.116666666666667	0.0433333333333333	0.236666666666667	0	0.553333333333333	0.08	0.18	0	1.78	1.81666666666667
TraesCS1B02G321500	0	0	0	0	0	0	0	0	0	0
TraesCS1D02G104500	6.64333333333333	7.47	8.11	7.53333333333333	7.28333333333333	6.51666666666667	4.74666666666667	4.41333333333333	5.53666666666667	7.48
TraesCS1D02G161800	21.8433333333333	23.01	22.87	21.0266666666667	21.4633333333333	22.71	21.8133333333333	22.7333333333333	20.4466666666667	13.3366666666667
TraesCS1D02G256100	0	0	0	0.19	0.13	0	0.0633333333333333	0.74	1.31333333333333	3.98
TraesCS1D02G309800	0	0	0	0	0.0733333333333333	0	0	0	0	0
TraesCS2A02G219700	0.606666666666667	0.263333333333333	0.796666666666667	0.356666666666667	0.363333333333333	0.196666666666667	0.38	0.196666666666667	0.103333333333333	0.17
TraesCS2A02G516300	2.19333333333333	2.35333333333333	2.79333333333333	3.30333333333333	2.38666666666667	3.02	2.63	3.11333333333333	3.54333333333333	3.85666666666667
TraesCS2A02G575700	0	0	0	0	0	0	0	0.0466666666666667	0.05	0.156666666666667
TraesCS2B02G245300	0.766666666666667	0.613333333333333	0.853333333333333	0.303333333333333	1.46	0.286666666666667	0.403333333333333	0.296666666666667	0.6	2.35333333333333
TraesCS2B02G545100	10	9.95333333333333	13.24	10.8433333333333	13.1666666666667	17.02	12.48	13.3666666666667	17.0433333333333	18.7133333333333
TraesCS2B02G611600	0.0966666666666667	0.0766666666666667	0	0.04	0	0	0.0433333333333333	0	0.05	0
