3DAA	7DAA	10DAA	13DAA	15DAA	17DAA	19DAA	21DAA	23DAA	26DAA
TaUMAMIT1	18.1666666666667	17.87	21.7633333333333	16.43	18.1466666666667	16.5766666666667	13.0866666666667	11.4033333333333	13.1233333333333	16.0766666666667
TaUMAMIT2	61.83	61.1866666666667	65.0166666666667	59.75	60.56	63.07	57.6833333333333	63.66	53.5133333333333	36.2933333333333
TaUMAMIT3	0.116666666666667	0.0433333333333333	0.316666666666667	0.19	0.683333333333333	0.1	0.243333333333333	0.74	3.09333333333333	6.23666666666667
TaUMAMIT4	0	0.0233333333333333	0	0	0.0733333333333333	0	0	0	0	0
TaUMAMIT5	2.26	1.34333333333333	1.93	0.816666666666667	2.81	0.736666666666667	1.96	1.01666666666667	1.43333333333333	5.42666666666667
TaUMAMIT6	12.7533333333333	13.19	17.6033333333333	14.5366666666667	16.1333333333333	20.63	16.0333333333333	17.13	21.3833333333333	23.5066666666667
TaUMAMIT7	0.0966666666666667	0.0766666666666667	0	0.04	0	0.06	0.0433333333333333	0.0466666666666667	0.1	0.156666666666667
TaUMAMIT8	5.51	6.64	1.34666666666667	4.32666666666667	3.81333333333333	1.77	2.43	1.83333333333333	0.333333333333333	0.466666666666667
TaUMAMIT9	0	0	0	0	0	0	0	0	0	0
TaUMAMIT10	0	0	0	0.0533333333333333	0.0766666666666667	0.0666666666666667	0.04	0.213333333333333	0.24	4.43
TaUMAMIT11	0	0	0	0	0	0	0	0	0	0
TaUMAMIT12	0.0333333333333333	0	0	0	0	0	0	0	0.0733333333333333	0
TaUMAMIT13	0	0.08	0.186666666666667	0.06	0.43	0.09	0.0533333333333333	0.0566666666666667	0.123333333333333	0
TaUMAMIT14	2	2.14666666666667	3.51333333333333	2.87666666666667	2.76333333333333	3.00333333333333	3.18666666666667	2.49666666666667	3.04666666666667	2.08333333333333
TaUMAMIT15	3.74666666666667	4.35666666666667	5.51666666666667	4.37333333333333	3.65333333333333	5.57	3.65666666666667	1.49666666666667	2.17666666666667	1.14
TaUMAMIT16	23.9533333333333	50.3333333333333	19.7733333333333	35.5	32.13	31.6266666666667	41.6033333333333	81.7	68.19	90.19
TaUMAMIT17	4.11	7.06666666666667	7.32666666666667	7.60333333333333	12.1433333333333	14.0233333333333	10.76	13.8	22.3266666666667	21.0533333333333
TaUMAMIT18	2.46333333333333	2.39	2.75	2.64333333333333	3.42333333333333	2.71	2.79333333333333	2.15333333333333	1.95666666666667	2.06
TaUMAMIT19	195.126666666667	249.92	217.613333333333	321.356666666667	326.51	304.916666666667	343.753333333333	320.796666666667	290.54	119.813333333333
TaUMAMIT20	0	0	0	0	0	0	0	0	0	0
TaUMAMIT21	0	0	0	0.04	0	0	0	0	0.0633333333333333	0
TaUMAMIT22	0	0	0	0	0	0	0	0	0.06	0
TaUMAMIT23	0.43	1.34666666666667	0.07	0.276666666666667	0.436666666666667	0.626666666666667	0.62	0.253333333333333	0.143333333333333	0.206666666666667
TaUMAMIT24	0.0466666666666667	0	0.186666666666667	0	0	0	0	0	0	0
TaUMAMIT25	8.24333333333333	13.61	16.3066666666667	20.5266666666667	28.6066666666667	27.94	29.2766666666667	27.6133333333333	52.44	75.0533333333333
TaUMAMIT26	0	0	0	0	0	0	0	0	0	0
TaUMAMIT27	12.77	18.0866666666667	20.2333333333333	16.4933333333333	26.2833333333333	25.23	22.99	24.8066666666667	49.8966666666667	58.18
TaUMAMIT28	0.06	0.04	0	0	0	0.19	0.113333333333333	0.07	0	0.0466666666666667
