Gene stable ID,Pfam ID
TraesCS6A02G320900,PF00892
TraesCS7A02G109400,PF00892
TraesCS1B02G128000,PF00892
TraesCS7A02G409900,PF00892
TraesCS1B02G023900,PF00892
TraesCS2D02G298200,PF00892
TraesCS6A02G329900,PF00892
TraesCS7A02G209000,PF00892
TraesCS2D02G518100,PF00892
TraesCS2A02G516300,PF00892
TraesCS7B02G007600,PF00892
TraesCS7D02G465000,PF00892
TraesCS6A02G329800,PF00892
TraesCS5D02G071500,PF00892
TraesCS1A02G310300,PF00892
TraesCS7A02G477500,PF00892
TraesCS6B02G360700,PF00892
TraesCS3D02G003600,PF00892
TraesCS3D02G325400,PF00892
TraesCS3B02G009500,PF00892
TraesCS2B02G611600,PF00892
TraesCS2B02G545100,PF00892
TraesCS5A02G060000,PF00892
TraesCS4A02G386700,PF00892
TraesCS2B02G245300,PF00892
TraesCS7A02G300400,PF00892
TraesCS1A02G256700,PF00892
TraesCS2A02G505300,PF00892
TraesCS6B02G360400,PF00892
TraesCS7D02G104700,PF00892
TraesCS7B02G379000,PF00892
TraesCS6A02G106600,PF00892
TraesCS3D02G333300,PF00892
TraesCS7D02G022700,PF00892
TraesCS7D02G022800,PF00892
TraesCS6A02G008700,PF00892
TraesCSU02G213700,PF00892
TraesCS1A02G019800,PF00892
TraesCS3D02G328900,PF00892
TraesCS4B02G351700,PF00892
TraesCS3D02G199100,PF00892
TraesCS7B02G120500,PF00892
TraesCS2D02G586500,PF00892
TraesCS4A02G464100,PF00892
TraesCS6B02G360900,PF00892
TraesCS3A02G019600,PF00892
TraesCS4D02G040300,PF00892
TraesCS4A02G284700,PF00892
TraesCS6D02G044200,PF00892
TraesCS1A02G019700,PF00892
TraesCS4A02G472400,PF00892
TraesCS7B02G388500,PF00892
TraesCS6D02G308900,PF00892
TraesCS7A02G281700,PF00892
TraesCS1D02G309800,PF00892
TraesCS2D02G225400,PF00892
TraesCS6B02G360800,PF00892
TraesCS3B02G371400,PF00892
TraesCS4B02G043000,PF00892
TraesCS6B02G360600,PF00892
TraesCS5A02G220400,PF00892
TraesCS6A02G038300,PF00892
TraesCS7A02G490000,PF00892
TraesCS3A02G196000,PF00892
TraesCS6D02G308600,PF00892
TraesCS5A02G220500,PF00892
TraesCS4B02G316400,PF00892
TraesCS4A02G464200,PF00892
TraesCS6A02G329600,PF00892
TraesCS6B02G298700,PF00892
TraesCS4B02G086600,PF00892
TraesCS6D02G251700,PF00892
TraesCS2A02G231600,PF00892
TraesCS1A02G164700,PF00892
TraesCS5B02G496200,PF00892
TraesCS3D02G488300,PF00892
TraesCS7B02G309300,PF00892
TraesCS3A02G007100,PF00892
TraesCS7D02G104600,PF00892
TraesCS6D02G009900,PF00892
TraesCS5D02G228400,PF00892
TraesCS1B02G267300,PF00892
TraesCS6A02G039800,PF00892
TraesCS7A02G024800,PF00892
TraesCS7A02G020400,PF00892
TraesCS6D02G308500,PF00892
TraesCS5B02G219600,PF00892
TraesCS4D02G262600,PF00892
TraesCS3B02G006900,PF00892
TraesCS6D02G308700,PF00892
TraesCS7A02G169100,PF00892
TraesCS4B02G028400,PF00892
TraesCS2B02G255800,PF00892
TraesCS6B02G054800,PF00892
TraesCS1D02G019300,PF00892
TraesCS4B02G262500,PF00892
TraesCS7B02G073900,PF00892
TraesCS7A02G087800,PF00892
TraesCS7D02G104900,PF00892
TraesCS1D02G256100,PF00892
TraesCS7B02G007400,PF00892
TraesCS7A02G526900,PF00892
TraesCS3A02G070300,PF00892
TraesCS2D02G548100,PF00892
TraesCS7D02G476400,PF00892
TraesCS2D02G506100,PF00892
TraesCS7D02G211200,PF00892
TraesCS6B02G360500,PF00892
TraesCS6B02G015400,PF00892
TraesCS7D02G104500,PF00892
TraesCS6A02G271500,PF00892
TraesCS5D02G032500,PF00892
TraesCS7A02G024900,PF00892
TraesCS7D02G082900,PF00892
TraesCS2A02G219600,PF00892
TraesCS7D02G449600,PF00892
TraesCS5B02G014100,PF00892
TraesCS2A02G300300,PF00892
TraesCS6D02G045700,PF00892
TraesCS6B02G015700,PF00892
TraesCS7D02G403100,PF00892
TraesCS3A02G339800,PF00892
TraesCS2B02G598500,PF00892
TraesCS3A02G335900,PF00892
TraesCS1B02G181600,PF00892
TraesCS2B02G598400,PF00892
TraesCS1A02G020200,PF00892
TraesCS2A02G219700,PF00892
TraesCS2D02G601700,PF00892
TraesCS6A02G329700,PF00892
TraesCS1D02G104500,PF00892
TraesCS5A02G483000,PF00892
TraesCS4D02G313000,PF00892
TraesCS2A02G584600,PF00892
TraesCS4A02G271100,PF00892
TraesCS6B02G014700,PF00892
TraesCS4B02G351800,PF00892
TraesCS5D02G496600,PF00892
TraesCS3A02G331900,PF00892
TraesCS4A02G041500,PF00892
TraesCS3B02G366800,PF00892
TraesCS3B02G227600,PF00892
TraesCS2A02G575700,PF00892
TraesCS7B02G393200,PF00892
TraesCS5A02G483100,PF00892
TraesCS6A02G008800,PF00892
TraesCS6D02G012400,PF00892
TraesCS7B02G379400,PF00892
TraesCS3D02G027300,PF00892
TraesCS7D02G472200,PF00892
TraesCS3B02G011600,PF00892
TraesCS6A02G330100,PF00892
TraesCS1B02G041700,PF00892
TraesCS7B02G379300,PF00892
TraesCS6D02G009800,PF00892
TraesCS7B02G116100,PF00892
TraesCS7A02G109600,PF00892
TraesCS3B02G026700,PF00892
TraesCS1B02G049500,PF00892
TraesCS2D02G225500,PF00892
TraesCS1A02G095600,PF00892
TraesCS6A02G009400,PF00892
TraesCS3B02G084400,PF00892
TraesCS5D02G021800,PF00892
TraesCS5B02G067300,PF00892
TraesCS7B02G007300,PF00892
TraesCS1B02G321500,PF00892
TraesCS2D02G548200,PF00892
TraesCS4A02G415600,PF00892
TraesCS7A02G461400,PF00892
TraesCS6D02G308800,PF00892
TraesCS7D02G296100,PF00892
TraesCS1D02G161800,PF00892
TraesCS4D02G164600,PF00892
TraesCS7D02G464900,PF00892
TraesCS5A02G520400,PF00892
TraesCS2B02G533700,PF00892
TraesCS3B02G362000,PF00892
TraesCS7A02G477400,PF00892
TraesCS6D02G309000,PF00892
TraesCS7D02G016700,PF00892
TraesCS6A02G330000,PF00892
TraesCS2B02G316600,PF00892
TraesCS5D02G228500,PF00892
TraesCS2A02G584400,PF00892
TraesCS7B02G201300,PF00892
TraesCS2B02G245100,PF00892
TraesCS2D02G601600,PF00892
TraesCS5D02G482100,PF00892
TraesCS5B02G219500,PF00892
TraesCS7D02G170200,PF00892
TraesCS5A02G520500,PF00892
TraesCS5A02G015800,PF00892
