Gene stable ID,Pfam ID
AT1G43650,PF00892
AT2G40900,PF00892
AT1G68170,PF00892
AT3G28070,PF00892
AT1G11460,PF00892
AT4G19185,PF00892
AT2G37450,PF00892
AT1G60050,PF00892
AT5G40210,PF00892
AT3G28050,PF00892
AT3G53210,PF00892
AT5G45370,PF00892
AT4G08300,PF00892
AT5G40230,PF00892
AT1G01070,PF00892
AT3G45870,PF00892
AT4G01440,PF00892
AT3G28130,PF00892
AT4G08290,PF00892
AT5G47470,PF00892
AT5G07050,PF00892
AT1G21890,PF00892
AT1G70260,PF00892
AT4G30420,PF00892
AT5G13670,PF00892
AT4G15540,PF00892
AT3G18200,PF00892
AT5G40240,PF00892
AT1G11450,PF00892
AT3G02690,PF00892
AT5G64700,PF00892
AT2G37460,PF00892
AT3G30340,PF00892
AT3G28100,PF00892
AT4G16620,PF00892
AT2G05755,PF00892
AT2G39510,PF00892
AT3G28080,PF00892
AT1G44800,PF00892
AT4G32140,PF00892
AT4G01430,PF00892
AT4G01450,PF00892
AT4G28040,PF00892
AT3G56620,PF00892
AT1G25270,PF00892
AT1G75500,PF00892
AT1G09380,PF00892
