Gene stable ID,Interpro ID
AT1G43650,IPR030184
AT2G40900,IPR030184
AT1G68170,IPR030184
AT3G28070,IPR030184
AT1G11460,IPR030184
AT4G19185,IPR030184
AT1G16520,IPR030184
AT2G37450,IPR030184
AT1G60050,IPR030184
AT5G40210,IPR030184
AT3G28050,IPR030184
AT3G53210,IPR030184
AT5G45370,IPR030184
AT4G08300,IPR030184
AT5G40230,IPR030184
AT1G56080,IPR030184
AT1G01070,IPR030184
AT3G45870,IPR030184
AT4G01440,IPR030184
AT3G28130,IPR030184
AT4G08290,IPR030184
AT5G47470,IPR030184
AT5G07050,IPR030184
AT1G21890,IPR030184
AT1G70260,IPR030184
AT4G30420,IPR030184
AT5G13670,IPR030184
AT4G15540,IPR030184
AT3G18200,IPR030184
AT5G40240,IPR030184
AT1G11450,IPR030184
AT4G24980,IPR030184
AT5G64700,IPR030184
AT2G37460,IPR030184
AT3G30340,IPR030184
AT3G28100,IPR030184
AT4G16620,IPR030184
AT2G39510,IPR030184
AT3G28080,IPR030184
AT1G44800,IPR030184
AT4G01430,IPR030184
AT4G01450,IPR030184
AT4G28040,IPR030184
AT3G56620,IPR030184
AT1G25270,IPR030184
AT3G28060,IPR030184
AT1G75500,IPR030184
AT1G09380,IPR030184
