Gene stable ID,Interpro ID
TraesCS6A02G320900,IPR030184
TraesCS7A02G109400,IPR030184
TraesCS1B02G128000,IPR030184
TraesCS7A02G409900,IPR030184
TraesCS1B02G023900,IPR030184
TraesCS2D02G298200,IPR030184
TraesCS6A02G329900,IPR030184
TraesCS7B02G007600,IPR030184
TraesCS7D02G465000,IPR030184
TraesCS6A02G329800,IPR030184
TraesCS5D02G071500,IPR030184
TraesCS1A02G310300,IPR030184
TraesCS7A02G477500,IPR030184
TraesCS6B02G360700,IPR030184
TraesCS3D02G003600,IPR030184
TraesCS3D02G325400,IPR030184
TraesCS3B02G009500,IPR030184
TraesCS2B02G611600,IPR030184
TraesCS5A02G060000,IPR030184
TraesCS4A02G386700,IPR030184
TraesCS2B02G245300,IPR030184
TraesCS7A02G300400,IPR030184
TraesCS1A02G256700,IPR030184
TraesCS2A02G505300,IPR030184
TraesCS6B02G360400,IPR030184
TraesCS7D02G104700,IPR030184
TraesCS7B02G379000,IPR030184
TraesCS6A02G106600,IPR030184
TraesCS3D02G333300,IPR030184
TraesCS7D02G022700,IPR030184
TraesCS7D02G022800,IPR030184
TraesCS6A02G008700,IPR030184
TraesCSU02G213700,IPR030184
TraesCS1A02G019800,IPR030184
TraesCS3A02G514400,IPR030184
TraesCS3D02G328900,IPR030184
TraesCS4B02G351700,IPR030184
TraesCS3D02G199100,IPR030184
TraesCS7B02G120500,IPR030184
TraesCS2D02G586500,IPR030184
TraesCSU02G149300,IPR030184
TraesCS4A02G464100,IPR030184
TraesCS6B02G360900,IPR030184
TraesCS3A02G019600,IPR030184
TraesCS4A02G284700,IPR030184
TraesCS6D02G044200,IPR030184
TraesCS1A02G019700,IPR030184
TraesCS4A02G472400,IPR030184
TraesCS7B02G388500,IPR030184
TraesCS6D02G308900,IPR030184
TraesCS7A02G281700,IPR030184
TraesCS1D02G309800,IPR030184
TraesCS2D02G225400,IPR030184
TraesCS6B02G360800,IPR030184
TraesCS3B02G371400,IPR030184
TraesCS6B02G360600,IPR030184
TraesCS5A02G220400,IPR030184
TraesCS6A02G038300,IPR030184
TraesCS7A02G490000,IPR030184
TraesCS3A02G196000,IPR030184
TraesCS6D02G308600,IPR030184
TraesCS5A02G220500,IPR030184
TraesCS4B02G316400,IPR030184
TraesCS2B02G301500,IPR030184
TraesCS4A02G464200,IPR030184
TraesCS6A02G329600,IPR030184
TraesCS6B02G298700,IPR030184
TraesCS4B02G086600,IPR030184
TraesCS6D02G251700,IPR030184
TraesCS2A02G231600,IPR030184
TraesCS5B02G496200,IPR030184
TraesCS3D02G488300,IPR030184
TraesCS7B02G309300,IPR030184
TraesCS3A02G007100,IPR030184
TraesCS7D02G104600,IPR030184
TraesCS6D02G009900,IPR030184
TraesCS5D02G228400,IPR030184
TraesCS1B02G267300,IPR030184
