A,B,D,synteny,Expressed
TraesCS7A01G243100,TraesCS7B01G148400,TraesCS7D01G241900,syntenic,TRUE
TraesCS7A01G360600,TraesCS7B01G267100,TraesCS7D01G362400,syntenic,TRUE
TraesCS7A01G267100,TraesCS7B01G165300,TraesCS7D01G267800,syntenic,FALSE
TraesCS7A01G235400,TraesCS7B01G133600,TraesCS7D01G235500,syntenic,TRUE
TraesCS7A01G185200,TraesCS7B01G090200,TraesCS7D01G186600,syntenic,TRUE
TraesCS7A01G155800,TraesCS7B01G059900,TraesCS7D01G156200,syntenic,TRUE
TraesCS7A01G542500,TraesCS7B01G464400,TraesCS7D01G527700,syntenic,TRUE
TraesCS7A01G496300,TraesCS7B01G401100,TraesCS7D01G483500,syntenic,TRUE
TraesCS7A01G275800,TraesCS7B01G173500,TraesCS7D01G275700,syntenic,FALSE
TraesCS7A01G210700,TraesCS7B01G117400,TraesCS7D01G212400,syntenic,FALSE
TraesCS7A01G136000,TraesCS7B01G037000,TraesCS7D01G136100,syntenic,FALSE
TraesCS6A01G290100,TraesCS6B01G320300,TraesCS6D01G268900,syntenic,FALSE
TraesCS4A01G184700,TraesCS4B01G134000,TraesCS4D01G128900,syntenic,TRUE
TraesCS3A01G520800,TraesCS3B01G590100,TraesCS3D01G528700,syntenic,FALSE
TraesCS6A01G182900,TraesCS6B01G211700,TraesCS6D01G170300,syntenic,TRUE
TraesCS3A01G349600,TraesCS3B01G382200,TraesCS3D01G343600,syntenic,FALSE
TraesCS5A01G531900,TraesCS4B01G363600,TraesCS4D01G357000,syntenic,TRUE
TraesCS5A01G461200,TraesCS5B01G471300,TraesCS5D01G473800,syntenic,TRUE
TraesCS5A01G536100,TraesCS6B01G196400,TraesCS4D01G361800,non-syntenic,TRUE
TraesCS5A01G303500,TraesCS5B01G303900,TraesCS5D01G310400,syntenic,TRUE
TraesCS5A01G175800,TraesCS5B01G172400,TraesCS5D01G179500,syntenic,TRUE
TraesCS5A01G151600,TraesCS5B01G150200,TraesCS5D01G156800,syntenic,TRUE
TraesCS5A01G246200,TraesCS5B01G243500,TraesCS5D01G252700,syntenic,TRUE
TraesCS5A01G012700,TraesCS5B01G011000,TraesCS5D01G018200,syntenic,TRUE
TraesCS5A01G166900,TraesCS5B01G164000,TraesCS5D01G171200,syntenic,TRUE
TraesCS3A01G462400,TraesCS3B01G505400,TraesCS3D01G456100,syntenic,TRUE
TraesCS3A01G377900,TraesCS3B01G410700,TraesCS3D01G371100,syntenic,FALSE
TraesCS5A01G150400,TraesCS5B01G149100,TraesCS5D01G155500,syntenic,FALSE
TraesCS3A01G285300,TraesCS3B01G319200,TraesCS3D01G285200,syntenic,TRUE
TraesCS3A01G237900,TraesCS3B01G266300,TraesCS3D01G238100,syntenic,TRUE
TraesCS3A01G271200,TraesCS1B01G162900,TraesCS4D01G158300,non-syntenic,TRUE
TraesCS4A01G231300,TraesCS4B01G084700,TraesCS4D01G082600,syntenic,TRUE
TraesCS3A01G440700,TraesCS3B01G474800,TraesCS3D01G433300,syntenic,TRUE
TraesCS1A01G020300,TraesCS1B01G024300,TraesCS1D01G019800,syntenic,TRUE
TraesCS1A01G117100,TraesCS1B01G137000,TraesCS1D01G118200,syntenic,TRUE
TraesCS1A01G029400,TraesCS1B01G036600,TraesCS1D01G029600,syntenic,TRUE
TraesCS2A01G324400,TraesCS2B01G357800,TraesCS2D01G338600,syntenic,FALSE
TraesCS2A01G517700,TraesCS2B01G546200,TraesCS2D01G519200,syntenic,TRUE
